phaseID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,average
0,5,1118,1538,1714,1087,1400,1304,640,1172,373,792,577,348,369,289,265,194,140,117,191,263,249,26,9,0,3,14,3,0,0,0,0,0,7.04225
1,7,840,1481,1543,1025,1422,1337,494,1130,333,800,605,453,571,369,197,237,111,112,152,172,258,36,14,4,4,15,2,0,0,0,0,0,7.28651
2,0,0,1197,552,550,1651,2108,168,600,414,0,1096,1007,1460,956,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2149
3,0,0,1000,464,463,1627,2257,122,512,347,0,1158,1024,1524,1043,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.41114
4,0,0,672,309,311,1578,2494,86,339,233,0,1265,875,1810,1185,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7804
5,0,0,1001,490,489,1630,2131,167,590,367,0,1138,1005,1516,1017,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.39701
6,0,2,531,222,250,1540,2031,355,263,179,4,1538,900,1797,1228,1,171,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,9.07523
7,0,0,0,0,0,1364,3,1364,3,0,0,2727,909,1819,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4712
8,0,0,0,0,0,1363,3,1363,3,0,0,2727,908,1818,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4767
9,0,0,1,0,0,1365,2,1365,2,0,0,2729,972,1759,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4635
10,0,113,2,1,474,1435,228,1092,18,107,0,2405,1124,1821,977,226,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.97606
11,0,389,0,0,1649,1591,812,407,41,388,0,1589,1757,1769,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93895
12,0,383,1,0,1660,1590,824,411,42,382,0,1590,1745,1776,0,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93017
13,0,393,1,0,1642,1591,804,401,43,394,0,1590,1756,1774,0,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94055
14,0,372,1,1,1673,1590,846,422,33,371,0,1588,1739,1776,0,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92379
15,0,0,1,0,2343,1564,1562,780,0,0,0,1563,1563,1564,0,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5317
16,0,624,1,0,1167,1609,362,180,1,623,0,1609,2023,1816,0,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.243
17,0,533,0,0,1336,1602,534,267,1,534,0,1601,1955,1779,0,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.13826
18,0,380,1,0,1639,1590,830,414,14,380,0,1589,1772,1773,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94694
19,0,431,1,2,1528,1594,732,365,1,431,0,1594,1825,1790,0,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.01713
