phaseID,numBranches,numEverTakenBranches,totalMispredicts,topMispPC_0,type_0,misCnt_0,topMispPC_1,type_1,misCnt_1,topMispPC_2,type_2,misCnt_2,topMispPC_3,type_3,misCnt_3,topMispPC_4,type_4,misCnt_4
0,1512,1058,1821,f3802,0,154,f3a26,0,112,f4b1e,0,88,f3800,0,85,f22be,0,42
1,1622,1123,1059,f3a26,0,99,f3802,0,69,f4b1e,0,62,c8da8,0,40,f22be,0,25
2,51,28,314,c8da8,0,310,f39fa,0,3,c8e34,0,1,c8e2c,0,0,c8a30,0,0
3,51,28,223,c8da8,0,217,f39fa,0,6,c8e34,0,0,c8db4,0,0,c8dbc,0,0
4,51,28,158,c8da8,0,153,f39fa,0,5,c8e34,0,0,c8db4,0,0,c8dbc,0,0
5,51,28,210,c8da8,0,208,f39fa,0,2,c8e34,0,0,c8db4,0,0,c8dbc,0,0
6,113,60,157,c8da8,0,123,f39fa,0,11,c90b6,0,3,f118a,0,2,f1182,0,2
7,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
8,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
9,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
10,41,23,39,c8f30,0,26,c9c34,0,5,c9c24,0,3,c916a,0,1,c9c32,5,1
11,23,14,85,c8f30,0,83,c9c34,0,1,c9c24,0,1,c8f18,2,0,c9c40,1,0
12,23,13,78,c8f30,0,78,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
13,23,13,87,c8f30,0,87,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
14,23,13,62,c8f30,0,62,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
15,22,12,0,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0,c9c12,1,0
16,23,13,1,c8f30,0,1,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
17,23,13,2,c8f30,0,2,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
18,23,13,30,c8f30,0,30,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
