policy,metric,value,random_value,delta_vs_random,percent_vs_random
lru,cpu0_ipc,1.376739891684973,1.384636448659112,-0.007896556974139157,-0.5702982166753026
lru,cpu1_ipc,0.2044744111186028,0.22380451095112774,-0.019330099832524955,-8.637046568174881
lru,aggregate_ipc,1.5812143028035757,1.6084409596102398,-0.02722665680666414,-1.6927358535598191
lru,sum_core_ipc,1.5812143028035757,1.6084409596102398,-0.02722665680666414,-1.6927358535598191
lru,cpu0_l1_demand_mpki,10.432180165144853,10.429077700579455,0.0031024645653978666,0.029748216040479676
lru,cpu1_l1_demand_mpki,45.625414844188775,46.92775217544262,-1.3023373312538453,-2.7751964900960266
lru,cpu0_l2_demand_mpki,10.419383627098139,10.418239112756343,0.0011445143417958548,0.010985679339942234
lru,cpu1_l2_demand_mpki,8.538344367479619,8.622080378158692,-0.08373601067907366,-0.9711810491954157
lru,aggregate_l1_demand_misses,108927,114681,-5754,-5.01739608130379
lru,aggregate_l2_demand_misses,73980,75196,-1216,-1.6171072929411139
lru,aggregate_iew_stall_events,519046,536336,-17290,-3.2237254258524506
lru,slc_hit_rate,0.01376039348869891,0.013552319152401444,0.00020807433629746637,1.535341176352064
lru,sf_hit_rate,0.023246281766014756,0.0198784491552302,0.003367832610784556,16.942129561945475
lru,slc_hits,1645.0,1581.0,64.0,4.0480708412397215
lru,slc_misses,117901.0,115078.0,2823.0,2.453118754236257
lru,sf_hits,2779.0,2319.0,460.0,19.836136265631737
lru,sf_misses,116767.0,114340.0,2427.0,2.1226167570404058
lru,replacement_attempts,57925.0,59135.0,-1210.0,-2.0461655533947747
lru,total_slc_victims,57925.0,59135.0,-1210.0,-2.0461655533947747
lru,clean_slc_victims,6086.0,6451.0,-365.0,-5.658037513563788
lru,dirty_slc_victims,51839.0,52684.0,-845.0,-1.6039025130969553
lru,victim_rate_per_completed_lookup,0.48454151539992973,0.506904739454307,-0.022363224054377295,-4.411721239468337
lru,victims_per_ki,7.967731272942905,7.996479845043948,-0.028748572101042313,-0.3595153449784543
lru,hnf_service_stalls,3109349.0,2818183.0,291166.0,10.33169244154833
lru,accepted_to_visible_latency_cycles,10.21277666150283,9.967778487861551,0.24499817364127807,2.4579014666069194
lru,noc_total_traffic_score,6354046,6384894,-30848,-0.4831403622362407
lru,noc_total_stall_cycles,956,1018,-62,-6.090373280943026
lru,memory_reads,73082,74044,-962,-1.299227486359462
lru,memory_writes,51331,52163,-832,-1.5950002875601481
random,cpu0_ipc,1.384636448659112,1.384636448659112,0.0,0.0
random,cpu1_ipc,0.22380451095112774,0.22380451095112774,0.0,0.0
random,aggregate_ipc,1.6084409596102398,1.6084409596102398,0.0,0.0
random,sum_core_ipc,1.6084409596102398,1.6084409596102398,0.0,0.0
random,cpu0_l1_demand_mpki,10.429077700579455,10.429077700579455,0.0,0.0
random,cpu1_l1_demand_mpki,46.92775217544262,46.92775217544262,0.0,0.0
random,cpu0_l2_demand_mpki,10.418239112756343,10.418239112756343,0.0,0.0
random,cpu1_l2_demand_mpki,8.622080378158692,8.622080378158692,0.0,0.0
random,aggregate_l1_demand_misses,114681,114681,0,0.0
random,aggregate_l2_demand_misses,75196,75196,0,0.0
random,aggregate_iew_stall_events,536336,536336,0,0.0
random,slc_hit_rate,0.013552319152401444,0.013552319152401444,0.0,0.0
random,sf_hit_rate,0.0198784491552302,0.0198784491552302,0.0,0.0
random,slc_hits,1581.0,1581.0,0.0,0.0
random,slc_misses,115078.0,115078.0,0.0,0.0
