policy,hotspot_rank,router,x,y,local_injected_flits,local_delivered_flits,internal_received_flits,internal_sent_flits,internal_output_stall_cycles,local_injection_stall_cycles,local_delivery_stall_cycles,traffic_score
lru,1,3,1,1,569239,674969,674970,569239,0,0,931,2488417
lru,2,1,1,0,335842,219763,558892,674970,0,25,0,1789467
lru,3,0,0,0,339129,349476,349476,339129,0,0,0,1377210
lru,4,2,0,1,0,0,349476,349476,0,0,0,698952
random,1,3,1,1,572558,675551,675555,572558,0,0,1000,2496222
random,2,1,1,0,332802,219088,561842,675555,0,18,0,1789287
random,3,0,0,0,342754,353469,353469,342754,0,0,0,1392446
random,4,2,0,1,0,0,353470,353469,0,0,0,706939
srrip,1,3,1,1,571101,677193,677194,571100,0,0,945,2496588
srrip,2,1,1,0,337451,220960,560707,677194,0,28,0,1796312
srrip,3,0,0,0,339747,350138,350140,339747,0,0,0,1379772
srrip,4,2,0,1,0,0,350140,350140,0,0,0,700280
