policy,set,victims
lru,0,61
lru,1,60
lru,2,59
lru,3,59
lru,4,59
lru,5,59
lru,6,60
lru,7,60
lru,8,60
lru,9,60
lru,10,59
lru,11,58
lru,12,57
lru,13,59
lru,14,60
lru,15,59
lru,16,61
lru,17,60
lru,18,60
lru,19,59
lru,20,60
lru,21,59
lru,22,58
lru,23,58
lru,24,58
lru,25,58
lru,26,57
lru,27,57
lru,28,58
lru,29,59
lru,30,62
lru,31,59
lru,32,58
lru,33,58
lru,34,57
lru,35,59
lru,36,58
lru,37,58
lru,38,57
lru,39,58
lru,40,61
lru,41,61
lru,42,61
lru,43,60
lru,44,61
lru,45,61
lru,46,59
lru,47,58
lru,48,59
lru,49,59
lru,50,59
lru,51,60
lru,52,59
lru,53,59
lru,54,59
lru,55,59
lru,56,58
lru,57,58
lru,58,58
lru,59,56
lru,60,58
lru,61,57
lru,62,57
lru,63,56
lru,64,57
lru,65,55
lru,66,60
lru,67,59
lru,68,58
lru,69,60
lru,70,60
lru,71,57
lru,72,59
lru,73,61
lru,74,59
lru,75,57
lru,76,56
lru,77,54
lru,78,57
lru,79,57
lru,80,57
lru,81,58
lru,82,58
lru,83,58
lru,84,61
lru,85,61
lru,86,59
lru,87,55
lru,88,58
lru,89,59
lru,90,60
lru,91,60
lru,92,60
lru,93,60
lru,94,58
lru,95,58
lru,96,57
lru,97,59
lru,98,59
lru,99,59
lru,100,58
lru,101,59
lru,102,60
lru,103,60
lru,104,58
lru,105,58
lru,106,62
lru,107,61
lru,108,60
lru,109,59
lru,110,59
lru,111,60
lru,112,59
lru,113,59
lru,114,59
lru,115,58
lru,116,58
lru,117,59
lru,118,60
lru,119,60
lru,120,56
lru,121,58
lru,122,57
lru,123,57
lru,124,57
lru,125,58
lru,126,58
lru,127,56
lru,128,59
lru,129,58
lru,130,58
lru,131,57
lru,132,58
lru,133,58
lru,134,59
lru,135,58
lru,136,58
lru,137,58
lru,138,58
lru,139,58
lru,140,56
lru,141,57
lru,142,57
lru,143,56
lru,144,57
lru,145,56
lru,146,58
lru,147,57
lru,148,58
lru,149,58
