phaseID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,average
0,6,1123,1555,1711,1090,1412,1303,641,1160,373,798,570,352,375,288,262,194,140,116,190,261,250,26,9,0,3,14,3,0,0,0,0,0,7.02988
1,4,835,1477,1534,1028,1414,1332,504,1137,331,807,605,447,571,381,197,236,111,110,150,173,253,36,14,4,5,14,2,0,0,0,0,0,7.29288
2,0,0,1195,552,551,1649,2122,156,599,414,0,1096,985,1482,957,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21558
3,0,0,989,463,463,1621,2242,141,515,347,0,1157,1020,1527,1042,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42105
4,0,0,673,310,311,1577,2486,88,340,233,0,1265,894,1790,1187,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.78272
5,0,0,1005,490,489,1632,2155,147,587,367,0,1139,986,1537,1017,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38997
6,0,2,534,221,250,1541,2049,336,260,179,4,1539,908,1789,1229,1,171,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,9.07441
7,0,0,0,0,0,1364,3,1364,3,0,0,2727,909,1819,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4712
8,0,0,0,0,0,1365,3,1365,3,0,0,2731,1021,1709,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4613
9,0,0,0,0,0,1365,2,1365,2,0,0,2729,1029,1701,1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4646
