phaseID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,average
0,0,989,1351,1447,995,1242,1163,564,1158,309,828,641,352,471,358,378,298,287,187,273,328,352,80,54,40,24,41,9,2,3,1,0,0,7.02988
1,0,783,1388,1384,1027,1361,1129,616,1139,296,803,695,315,713,416,246,300,164,130,176,200,300,56,25,8,12,22,6,1,1,0,0,0,7.29288
2,0,0,1195,552,551,1647,1100,1093,686,414,0,1096,275,2192,957,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21558
3,0,0,989,463,463,1620,1173,1161,564,347,0,1157,232,2315,1043,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42105
4,0,0,673,310,311,1577,1285,1262,367,233,0,1265,155,2529,1187,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.78272
5,0,0,1005,490,489,1631,1103,1138,649,367,0,1139,245,2278,1017,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38997
6,0,2,532,221,247,1539,1063,1301,279,179,2,1541,119,2578,1229,2,170,3,1,4,2,0,3,1,2,0,0,0,0,0,0,0,0,9.07441
7,0,0,0,0,0,1364,3,1364,0,0,0,2727,0,2728,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4712
8,0,0,0,0,0,1365,3,1365,0,0,0,2731,0,2730,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4613
9,0,0,0,0,0,1365,2,1365,0,0,0,2729,0,2730,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4646
