phaseID,numBranches,numEverTakenBranches,totalMispredicts,topMispPC_0,type_0,misCnt_0,topMispPC_1,type_1,misCnt_1,topMispPC_2,type_2,misCnt_2,topMispPC_3,type_3,misCnt_3,topMispPC_4,type_4,misCnt_4
0,1512,1058,1810,f3802,0,151,f3a26,0,102,f4b1e,0,91,f3800,0,87,f22be,0,39
1,1622,1123,1072,f3a26,0,79,f4b1e,0,72,f3802,0,68,c8da8,0,36,f22be,0,26
2,51,28,319,c8da8,0,314,f39fa,0,4,c8e34,0,1,c8e2c,0,0,c8a30,0,0
3,51,28,230,c8da8,0,229,f39fa,0,1,c8e34,0,0,c8db4,0,0,c8dbc,0,0
4,51,28,155,c8da8,0,153,f39fa,0,2,c8e34,0,0,c8db4,0,0,c8dbc,0,0
5,51,28,213,c8da8,0,209,f39fa,0,4,c8e34,0,0,c8db4,0,0,c8dbc,0,0
6,113,60,148,c8da8,0,121,f39fa,0,6,c90b6,0,3,f1182,0,2,f39f4,0,2
7,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
8,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
9,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
