subPhaseID,numBranches,numEverTakenBranches,totalMispredicts,topMispPC_0,type_0,misCnt_0,topMispPC_1,type_1,misCnt_1,topMispPC_2,type_2,misCnt_2,topMispPC_3,type_3,misCnt_3,topMispPC_4,type_4,misCnt_4
0,558,377,312,f3a26,0,18,f4b1e,0,14,f3800,0,9,f3802,0,9,f173e,0,7
1,381,262,172,f3800,0,19,f3a26,0,17,f3802,0,13,f4b1e,0,9,f3a3e,0,7
2,516,322,269,f3802,0,27,f3a26,0,14,f3a4a,0,13,f4b1e,0,10,f495c,0,7
3,572,361,192,f3802,0,18,3f6ea,0,10,32840,0,7,f3a26,0,6,f4b1e,0,6
4,662,430,201,f3802,0,22,f3a26,0,16,f4b1e,0,8,f3800,0,7,3f6ea,0,6
5,671,459,141,f22be,0,11,f4b1e,0,10,4423e,0,5,f491a,0,5,44046,0,5
6,543,363,178,f3802,0,22,f3800,0,16,f4b1e,0,12,f3a44,0,9,f3a26,0,7
7,346,237,146,f3800,0,19,f3802,0,19,f22be,0,7,f37be,0,7,303c2,0,5
8,410,270,103,f4b1e,0,11,f3a26,0,8,f4b50,3,6,f4abc,0,6,f3802,0,6
9,421,287,96,f3802,0,12,f3a26,0,10,f4b1e,0,9,f3800,0,8,f3a3e,0,6
10,654,451,148,f3a26,0,16,f3802,0,14,f4b1e,0,8,f3800,0,6,f22be,0,5
11,392,251,77,f3a26,0,10,f4b1e,0,8,f3a3e,0,5,f3802,0,5,f4abc,0,4
12,478,327,90,f3802,0,15,f3a4a,0,6,f4b1e,0,6,f3a26,0,5,219aa,0,4
13,592,373,87,f3802,0,8,f4b1e,0,8,32830,0,5,3f6ea,0,5,d90c8,0,4
14,619,394,118,f4b1e,0,9,f3a26,0,9,f3802,0,6,dcb3c,0,5,f3d08,0,5
15,595,408,110,f3802,0,7,3f6ea,0,6,f3a26,0,4,f39f4,0,3,436f0,0,3
16,453,295,82,f22be,0,8,f4b1e,0,7,f3a38,0,5,f3a44,0,4,f4b50,3,4
17,500,342,161,f4b1e,0,15,f3a26,0,10,f3802,0,9,f39fa,0,7,ebd14,0,6
18,433,287,160,f3a26,0,18,f4b1e,0,8,f39e8,0,8,f39fa,0,6,ebd14,0,5
19,51,28,39,c8da8,0,31,f39fa,0,7,c8e34,0,1,c8e2c,0,0,c8a30,0,0
20,51,28,30,c8da8,0,29,f39fa,0,1,c8e34,0,0,c8db4,0,0,c8dbc,0,0
21,51,28,27,c8da8,0,27,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
22,51,28,40,c8da8,0,39,c8e34,0,1,c8e2c,0,0,c8a30,0,0,c8db4,0,0
23,51,28,27,c8da8,0,27,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
24,51,28,33,c8da8,0,31,f39fa,0,2,c8e34,0,0,c8db4,0,0,c8dbc,0,0
25,51,28,35,c8da8,0,35,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
26,51,28,40,c8da8,0,39,f39fa,0,1,c8e34,0,0,c8db4,0,0,c8dbc,0,0
27,51,28,33,c8da8,0,33,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
28,51,28,29,c8da8,0,29,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
29,51,28,25,c8da8,0,25,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
30,51,28,29,c8da8,0,29,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
31,51,28,32,c8da8,0,32,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
32,51,28,38,c8da8,0,37,f39fa,0,1,c8e34,0,0,c8db4,0,0,c8dbc,0,0
