Hist,count
37777,261
336bf,221
314ff,165
36bf7,112
14ff7,78
3ffff,76
3f777,69
2bf77,66
ff77,59
3fffb,29
37ffd,27
3ffbf,27
3fdff,25
22221,22
15555,22
3f7ff,21
3ffef,21
15557,21
9249,19
33fff,19
3ff7f,18
1ddc5,18
3fff7,18
3ffdf,18
3dfff,15
3feff,15
3ffe7,14
2fbd7,14
3fbff,13
e38e,13
2aaff,13
1b7ff,13
39faf,12
3ffdd,12
3fbfb,12
1ffff,12
1555f,12
3ffcf,11
1ffdf,11
3fbd7,11
1557f,10
1ffd,10
3f7fb,10
2aabf,10
2ff9f,10
3ffdb,10
37fff,9
27555,9
1ddff,9
e862,9
19555,9
3ffbe,8
3ff6c,8
eeff,8
3fef7,8
39555,8
11111,8
3eff7,8
3fedf,8
2aaaf,8
2aaab,8
3bdff,8
238e3,8
35555,8
3bfff,8
bfef,8
17dfe,7
1bfff,7
129ff,7
3ffda,7
3ebd0,7
6231,7
3f72f,7
3fef5,7
aaaf,7
3ad1f,7
1fffb,7
3b3b7,7
3bffb,7
3fffe,7
6195,6
11110,6
26aab,6
3c077,6
3676f,6
32aab,6
1a087,6
852f,6
2f7fe,6
2dff7,6
92ff,6
e7eb,6
27ebf,6
27ebd,6
27a4c,6
23bff,6
2555f,6
1077d,6
3ddc5,6
3edff,6
1fff,6
3ffe,6
3fdaf,6
3eebe,6
3fef3,6
3fefe,6
3f7f7,6
3e7f7,6
3ff7b,6
3effe,6
3efff,6
fcde,5
33555,5
37ffb,5
37ff7,5
bcaf,5
303ff,5
37f5,5
29555,5
3ffbb,5
296bf,5
33c33,5
155f7,5
17d4f,5
7862,5
37555,5
2bd07,5
ec9f,5
2abcd,5
2aaba,5
3f7af,5
2aaf3,5
3ffed,5
238e5,5
3f3bb,5
3fe7e,5
2fffb,5
fffd,5
25555,5
3bac5,5
25557,5
3fff3,5
3fffd,5
21861,5
c4a7,5
39ff3,5
3037e,5
2767f,5
1fffd,5
1bffe,5
3eeb1,5
3ff9f,4
889d,4
1f7af,4
2dfff,4
94ff,4
f027,4
3f607,4
1dffd,4
92fe,4
2fbff,4
1bf7,4
3fe5f,4
dfff,4
1e07,4
230c3,4
24cf0,4
253fe,4
253ff,4
3fdfb,4
2bcd1,4
1ffb5,4
1fef,4
27837,4
3fbf7,4
2a783,4
1f9dd,4
a7fc,4
406f,4
3dffd,4
12493,4
3bffe,4
3e777,4
3bfdd,4
124cf,4
3ffba,4
36ffb,4
36fff,4
77fe,4
3783f,4
3afd0,4
14f0e,4
6186,4
37fe7,4
655f,4
3ed7e,4
6253,4
2ffff,4
1b2f7,4
1b7fd,4
4442,4
19aab,4
188c7,4
7ffd,4
341df,4
7fbf,4
18655,4
3fff9,4
dfd,4
3efef,4
125fd,3
11555,3
1fff9,3
11dbe,3
3fefb,3
12aaf,3
1110a,3
10807,3
1ff7f,3
3fed4,3
1,3
1ffef,3
3ffde,3
155fc,3
3ff8a,3
3ff97,3
3ff7d,3
3f862,3
17fbf,3
1e07f,3
17f7f,3
1f5e3,3
1f7ff,3
16bf7,3
1f8fb,3
168f9,3
153c3,3
1f9bd,3
3ffb5,3
15579,3
1fbc1,3
3fefd,3
15559,3
3ffce,3
1feeb,3
1feff,3
1ff3f,3
154f0,3
35a7d,3
37fcf,3
37fbf,3
37dff,3
37af1,3
36f81,3
3ef07,3
3ef5e,3
35ffb,3
37fdf,3
35a3e,3
3efbe,3
3efdf,3
3135b,3
31113,3
30ec9,3
303c0,3
2fffd,3
3e0e3,3
3dbfe,3
3dabe,3
3d9db,3
3d7a3,3
3d68f,3
3d333,3
3cacd,3
3c1fb,3
2ffef,3
3b7fd,3
3b643,3
3b5a3,3
3affd,3
3eb47,3
3a555,3
3ebc7,3
3ebff,3
26786,3
3f7be,3
3fbcd,3
2870a,3
27f7f,3
3fbdf,3
27867,3
3fd81,3
2711d,3
2aadf,3
264cf,3
25f53,3
3fdfd,3
3fdfe,3
22711,3
21957,3
207ff,3
2040f,3
3f5a3,3
2ffbc,3
3f3f7,3
2ff7f,3
2ff7d,3
3f3ff,3
2faff,3
3f407,3
2dffe,3
2037f,3
2cedf,3
3f6bf,3
2cecf,3
2c9ff,3
2c7f0,3
2bfef,3
2abeb,3
2aafa,3
38c3,3
6fdf,3
444e,3
fc7d,3
f498,3
6184,3
7fb,3
2100,3
b111,3
a186,3
8403,3
e0f,3
4edf,3
3828,3
e14b,3
77ff,3
f03f,3
8886,3
3f,3
1f,3
aaad,3
efa7,3
6f2a,3
9dbe,3
1e0fd,2
3794,2
1e3e7,2
3f63f,2
2ffb5,2
2ba1f,2
3838,2
3dd82,2
3bfb7,2
1e027,2
3f740,2
3f5d0,2
2ff99,2
1f5be,2
f01f,2
8618,2
1f5ff,2
39ffc,2
3b13,2
2fcf0,2
3f2bd,2
3f3c3,2
3bf80,2
2fdc5,2
3a186,2
cabf,2
3f3fb,2
2ff3f,2
39fdf,2
3f54f,2
2bc48,2
3f555,2
64a7,2
39fad,2
3f27e,2
2feff,2
2fd01,2
39795,2
1caaf,2
1c444,2
3f87e,2
3db21,2
f067,2
4e23,2
1bffd,2
3f955,2
1bfef,2
1bfbe,2
7fa5,2
300ff,2
3055f,2
27833,2
3078b,2
307e5,2
3955e,2
3dafc,2
3f9ff,2
393f1,2
1b6db,2
f1f3,2
4443,2
1d9db,2
1dfbe,2
3f7ad,2
2b4fb,2
1f95f,2
2ffbf,2
2b47d,2
4436,2
3dbe5,2
3f7db,2
3f7df,2
273f5,2
1dff3,2
2fff7,2
2fffa,2
39a9f,2
1cfd7,2
3f7f9,2
7fff,2
bfff,2
1cf06,2
32af,2
7ff7,2
1cbca,2
23ff8,2
2dbff,2
3ba3b,2
23ed7,2
db7f,2
3e877,2
2c4d6,2
2101b,2
2100f,2
3ea7f,2
20f70,2
3ea9f,2
3e7ff,2
3fff,2
23ffd,2
dbfe,2
3ffb,2
4286,2
3b7c0,2
2497f,2
2499e,2
2bffd,2
2bff6,2
97fa,2
3e72f,2
2355f,2
3bc1f,2
3e3ed,2
d556,2
3bc07,2
3e4fc,2
2d1f5,2
9267,2
2cdfe,2
9555,2
d043,2
3b5ff,2
23b7d,2
22276,2
3e781,2
2d6fe,2
22227,2
3e1f9,2
2d77f,2
3e1e5,2
2214b,2
3e0f7,2
4203,2
3deff,2
cd55,2
2f7df,2
cbcc,2
1fdff,2
3df67,2
2beff,2
2f7f7,2
89ad,2
3be9,2
3bedb,2
3aa7e,2
3bebf,2
1fafd,2
3a551,2
25ed7,2
1fa07,2
1fa03,2
2fb3b,2
3f03f,2
3dad1,2
1f8f0,2
2fbef,2
1f7df,2
e5e5,2
24bfb,2
dfbe,2
24bff,2
3ed7f,2
2016b,2
2ebe3,2
3bd7f,2
3dfdf,2
1fff7,2
3b3ff,2
1ffe7,2
caf3,2
2efff,2
2bf72,2
2f2bf,2
1ff7b,2
2f2ff,2
2f41f,2
2f471,2
3c5f,2
1ff3d,2
3ef7d,2
1554f,2
110a5,2
1556f,2
fcaf,2
fd53,2
fd7a,2
2aafe,2
abff,2
af31,2
3cf03,2
ffe,2
3fef9,2
3ceff,2
297bf,2
3ff1f,2
34395,2
3ff3e,2
343bb,2
3ffe5,2
3ff50,2
3ff63,2
3ceef,2
3fec7,2
3fe55,2
3fe7b,2
3d0e1,2
10caf,2
3fe7f,2
156fc,2
2877d,2
2a787,2
155ff,2
36767,2
34610,2
37f7f,2
3fed5,2
28f97,2
33e7e,2
3cff9,2
37efb,2
1bfa,2
33fe7,2
3cfef,2
3c07f,2
3ffbd,2
29f6c,2
3ff9e,2
1136d,2
44ed,2
2a0de,2
ff7f,2
113b7,2
35e5f,2
35e83,2
7050,2
13555,2
ffef,2
37776,2
fff9,2
11d71,2
37715,2
3ffc1,2
3caaf,2
375f1,2
840,2
7078,2
1113b,2
14ff8,2
feee,2
297fd,2
fffb,2
3c9f8,2
3fe,2
347d7,2
70fb,2
34ccd,2
37bff,2
2871f,2
350ef,2
37bed,2
f03,2
13f1f,2
3ff83,2
13ed9,2
2aacf,2
3cd02,2
77d4,2
2ae86,2
2aaae,2
10432,2
19d9f,2
3bff9,2
27e3e,2
3fbe5,2
1957f,2
317ff,2
19249,2
18b11,2
3fbf9,2
19dbf,2
27f77,2
18889,2
3fc0d,2
44d6,2
383f2,2
18610,2
3c3ca,2
18403,2
31fb8,2
3fce5,2
1a3fd,2
1afc5,2
278f9,2
3,2
1aeff,2
1adbf,2
aaf7,2
1aaad,2
1aaab,2
38f01,2
3d9d9,2
28657,2
3bfef,2
3fb7d,2
1a3e7,2
1a3e5,2
3fb80,2
1a186,2
19fff,2
27c67,2
3fffc,2
297a,2
2abf9,2
10c86,2
17a0f,2
3fdd0,2
ff,2
32bcc,2
3fdeb,2
28403,2
32bf7,2
3fdf3,2
3fdf6,2
3fcf9,2
33267,2
1f0f,2
33355,2
1ebf,2
37ff9,2
28625,2
15f5b,2
15f2a,2
2abef,2
44db,2
3c780,2
17fcf,2
381bf,2
3fcfe,2
1080d,2
f8d5,2
3fcff,2
32186,2
381a3,2
3fdad,2
17e3f,2
1f95,2
f9a9,2
2adef,2
27fff,2
3d53f,2
32abd,2
3bc77,1
3c339,1
3bcd5,1
3c3b2,1
3bc28,1
3bc62,1
36c55,1
3bfed,1
4db7,1
3bf7d,1
4686,1
4aff,1
3bf95,1
4d6f,1
3bffc,1
3bfbf,1
3bfc3,1
3c07c,1
3bfcf,1
3bfdb,1
3bff5,1
3bff0,1
3bfdf,1
3c3df,1
3bfe6,1
3bd53,1
3beff,1
3bed7,1
3bece,1
