subPhaseID,numBranches,numEverTakenBranches,totalMispredicts,topMispPC_0,type_0,misCnt_0,topMispPC_1,type_1,misCnt_1,topMispPC_2,type_2,misCnt_2,topMispPC_3,type_3,misCnt_3,topMispPC_4,type_4,misCnt_4
0,558,377,312,f3a26,0,18,f4b1e,0,14,f3800,0,9,f3802,0,9,f173e,0,7
1,381,262,179,f3a26,0,25,f3800,0,15,f3802,0,13,1b0a0,0,9,f4b1e,0,9
2,516,322,263,f3802,0,23,f3a26,0,14,f4b1e,0,10,f3a4a,0,9,f495c,0,7
3,572,361,194,f3802,0,18,3f6ea,0,8,f3a26,0,7,32840,0,6,f4b1e,0,6
4,662,430,191,f3802,0,18,f3a26,0,13,f4b1e,0,9,3f6ea,0,6,f3a38,0,5
5,671,459,144,f22be,0,11,37adc,0,8,f4b1e,0,8,44046,0,5,f3a26,0,5
6,543,362,179,f3802,0,21,f3800,0,17,2b712,0,10,f4b1e,0,10,f3a26,0,9
7,346,237,146,f3800,0,21,f3802,0,19,f22be,0,8,f37be,0,7,f3788,0,6
8,410,270,107,f4b1e,0,10,f22be,0,8,f3802,0,6,f4abc,0,6,f3a26,0,6
9,421,287,99,f3802,0,13,f3a26,0,10,f3800,0,9,f4b1e,0,9,f3a3e,0,6
10,653,451,149,f3802,0,19,f3a26,0,16,f4b1e,0,9,f22be,0,6,f3a38,0,4
11,392,251,71,f3a26,0,14,f3802,0,7,f3a3e,0,6,f4b1e,0,6,f4abc,0,5
12,478,327,86,f3802,0,16,f3a26,0,13,f3800,0,6,f3a4a,0,5,219aa,0,3
13,592,373,85,f3802,0,7,f3a26,0,6,f3a4a,0,5,32830,0,5,3f6ea,0,5
14,620,394,122,f3a26,0,8,f3802,0,8,f4b1e,0,8,f3d08,0,6,e3b8e,0,5
15,594,408,110,3f6ea,0,6,f3802,0,6,f22be,0,4,f39fa,0,3,f3a26,0,3
16,453,295,75,f4b1e,0,8,f22be,0,7,f3802,0,6,f3a38,0,3,4423e,0,3
17,500,342,157,f4b1e,0,13,f3a26,0,9,ebd14,0,6,f3a4a,0,5,f3802,0,5
18,433,287,151,f3a26,0,19,f39e8,0,8,f4b1e,0,7,f39fa,0,7,c8da8,0,5
19,51,28,36,c8da8,0,28,f39fa,0,7,c8e34,0,1,c8e2c,0,0,c8a30,0,0
20,51,28,26,c8da8,0,26,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
21,51,28,27,c8da8,0,27,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
22,51,28,33,c8da8,0,32,c8e34,0,1,c8e2c,0,0,c8a30,0,0,c8db4,0,0
23,51,28,22,c8da8,0,21,f39fa,0,1,c8e34,0,0,c8db4,0,0,c8dbc,0,0
24,51,28,30,c8da8,0,30,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
25,51,28,32,c8da8,0,32,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
26,51,28,38,c8da8,0,36,f39fa,0,2,c8e34,0,0,c8db4,0,0,c8dbc,0,0
27,51,28,35,c8da8,0,35,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
28,51,28,31,c8da8,0,31,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
29,51,28,21,c8da8,0,21,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
30,51,28,32,c8da8,0,32,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
31,51,28,32,c8da8,0,31,f39fa,0,1,c8e34,0,0,c8db4,0,0,c8dbc,0,0
32,51,28,40,c8da8,0,38,f39fa,0,2,c8e34,0,0,c8db4,0,0,c8dbc,0,0
33,51,28,19,c8da8,0,19,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
34,51,28,12,c8da8,0,12,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
35,51,28,31,c8da8,0,30,f39fa,0,1,c8e34,0,0,c8db4,0,0,c8dbc,0,0
36,51,28,22,c8da8,0,22,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
37,51,28,14,c8da8,0,14,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
38,51,28,13,c8da8,0,13,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
39,51,28,28,c8da8,0,27,f39fa,0,1,c8e34,0,0,c8db4,0,0,c8dbc,0,0
40,51,28,5,c8da8,0,5,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
41,51,28,6,c8da8,0,6,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
42,51,28,9,c8da8,0,9,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
43,51,28,24,c8da8,0,22,f39fa,0,2,c8e34,0,0,c8db4,0,0,c8dbc,0,0
44,51,28,19,c8da8,0,19,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
45,51,28,20,c8da8,0,20,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
46,51,28,16,c8da8,0,16,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
47,51,28,21,c8da8,0,20,f39fa,0,1,c8e34,0,0,c8db4,0,0,c8dbc,0,0
48,51,28,13,c8da8,0,13,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
49,51,28,14,c8da8,0,14,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
50,51,28,31,c8da8,0,31,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
51,51,28,16,c8da8,0,16,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
52,51,28,14,c8da8,0,14,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
53,51,28,18,c8da8,0,18,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
54,51,28,33,c8da8,0,33,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
55,51,28,33,c8da8,0,33,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
56,51,28,26,c8da8,0,25,f39fa,0,1,c8e34,0,0,c8db4,0,0,c8dbc,0,0
57,51,28,36,c8da8,0,35,f39fa,0,1,c8e34,0,0,c8db4,0,0,c8dbc,0,0
58,51,28,5,c8da8,0,5,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
59,51,28,7,c8da8,0,7,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
60,51,28,16,c8da8,0,16,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
61,51,28,19,c8da8,0,19,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
62,51,28,18,c8da8,0,16,f39fa,0,2,c8e34,0,0,c8db4,0,0,c8dbc,0,0
63,51,28,9,c8da8,0,9,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
64,51,28,19,c8da8,0,19,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
65,51,28,12,c8da8,0,12,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
66,47,26,24,c8da8,0,13,f39fa,0,7,f39f4,0,2,c8d9a,0,1,c8ce8,0,1
67,47,25,10,c8da8,0,10,c8e1a,0,0,c8d9a,0,0,c8dae,2,0,c8db4,0,0
68,109,56,19,c90b6,0,3,c8da8,0,2,f1182,0,2,f21d6,0,2,c916a,0,2
69,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
70,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
71,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
72,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
73,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
74,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
75,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
76,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
77,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
78,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
79,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
80,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
81,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
82,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
83,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
84,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
85,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
86,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
87,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
88,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
89,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
90,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
91,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
92,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
