pc,type,mispredicts,total,misPermil,dirMiss,tgtMiss,noPredMiss
c8da8,0,1039,5319,195.337,1038,0,1
f3802,0,217,1454,149.243,215,0,2
f3a26,0,198,1327,149.209,168,0,30
f4b1e,0,148,999,148.148,145,0,3
f3800,0,105,1529,68.6723,104,0,1
f22be,0,74,169,437.87,73,0,1
f3a4a,0,66,204,323.529,65,0,1
f4abc,0,53,218,243.119,52,0,1
f39fa,0,47,3271,14.3687,41,0,6
f493a,0,41,879,46.6439,40,0,1
f3a3e,0,41,262,156.489,31,0,10
f4b50,3,36,90,400,0,35,1
f495c,0,36,311,115.756,35,0,1
f4b0e,0,36,218,165.138,35,0,1
1b0a0,0,32,239,133.891,31,0,1
f3a32,0,30,844,35.545,28,0,2
f3a38,0,29,298,97.3154,24,0,5
f491a,0,27,96,281.25,26,0,1
3f6ea,0,26,174,149.425,25,0,1
f4914,0,25,209,119.617,23,0,2
f3d08,0,21,144,145.833,11,0,10
44046,0,19,80,237.5,16,0,3
f1182,0,19,83,228.916,18,0,1
303c2,0,18,59,305.085,14,0,4
f39e8,0,18,1401,12.848,16,0,2
f3a44,0,17,216,78.7037,16,0,1
f3b74,0,16,75,213.333,15,0,1
f3788,0,16,78,205.128,15,0,1
e3b8e,0,16,32,500,15,0,1
f39f4,0,15,2723,5.50863,13,0,2
1cf3a,0,15,80,187.5,12,0,3
f3780,0,15,109,137.615,14,0,1
f3a50,0,15,100,150,14,0,1
4cf22,0,14,171,81.8713,9,0,5
43758,0,14,148,94.5946,13,0,1
f3b08,0,14,34,411.765,11,0,3
f173e,0,13,320,40.625,10,0,3
32840,0,13,38,342.105,8,0,5
219aa,0,13,62,209.677,12,0,1
f3a2c,0,12,853,14.068,9,0,3
2b6e8,0,12,18,666.667,8,0,4
436e4,0,12,156,76.9231,8,0,4
217a8,3,12,35,342.857,0,11,1
4bf72,5,12,42,285.714,0,0,12
28ae2,0,12,81,148.148,10,0,2
f3ae4,0,12,62,193.548,6,0,6
f3ba6,0,12,44,272.727,11,0,1
2b712,0,12,23,521.739,6,0,6
f3afc,0,12,49,244.898,10,0,2
f3bca,0,12,34,352.941,10,0,2
4d05e,0,11,111,99.0991,10,0,1
4423e,0,11,21,523.81,10,0,1
43754,0,11,156,70.5128,10,0,1
f4972,0,11,96,114.583,10,0,1
4bf78,0,10,42,238.095,5,0,5
436f0,0,10,156,64.1026,6,0,4
28ace,0,10,115,86.9565,9,0,1
28688,0,10,22,454.545,9,0,1
ebd14,0,10,25,400,7,0,3
4375c,0,10,134,74.6269,9,0,1
1cf50,0,10,60,166.667,9,0,1
f48fe,0,9,96,93.75,8,0,1
1b0fc,0,9,55,163.636,5,0,4
f21c2,0,9,174,51.7241,8,0,1
dcb3c,0,9,26,346.154,3,0,6
1b0b6,0,9,177,50.8475,8,0,1
1b0e0,0,9,62,145.161,7,0,2
37adc,0,9,24,375,2,0,7
f4ade,0,9,14,642.857,6,0,3
1834a,0,8,14,571.429,6,0,2
dbdfe,0,8,18,444.444,7,0,1
3bf66,0,8,29,275.862,5,0,3
dba0a,0,8,14,571.429,7,0,1
f494c,0,8,96,83.3333,7,0,1
f3b02,0,8,36,222.222,6,0,2
1b070,0,8,53,150.943,6,0,2
2b044,0,7,13,538.462,6,0,1
f378c,0,7,61,114.754,6,0,1
4376c,0,7,128,54.6875,6,0,1
1b07a,0,7,17,411.765,6,0,1
32818,0,7,36,194.444,5,0,2
a34ae,0,7,36,194.444,6,0,1
32862,0,7,36,194.444,5,0,2
e3c6a,0,7,16,437.5,5,0,2
f37be,0,7,41,170.732,6,0,1
303cc,0,7,37,189.189,4,0,3
4d0ee,0,7,84,83.3333,6,0,1
28ad6,0,7,115,60.8696,6,0,1
32830,0,7,38,184.211,6,0,1
dc2c0,0,6,28,214.286,3,0,3
32856,0,6,36,166.667,4,0,2
1bf1a,0,6,12,500,4,0,2
d90c8,0,6,16,375,5,0,1
f21d6,0,6,174,34.4828,5,0,1
e180e,3,6,27,222.222,0,5,1
2183c,0,6,21,285.714,5,0,1
28aa8,0,6,48,125,5,0,1
2b71e,0,6,13,461.538,5,0,1
e15f6,0,6,24,250,5,0,1
e1940,3,6,15,400,0,5,1
3bfaa,0,6,332,18.0723,5,0,1
26918,0,6,14,428.571,5,0,1
437da,0,6,14,428.571,0,0,6
3f6f8,0,5,8,625,4,0,1
f3b14,0,5,15,333.333,0,0,5
e3da6,0,5,16,312.5,4,0,1
278d6,5,5,5,1000,0,4,1
f4af2,0,5,94,53.1915,4,0,1
f37a0,0,5,48,104.167,0,0,5
ebc88,0,5,11,454.545,4,0,1
2afa0,0,5,42,119.048,4,0,1
f3af6,0,5,51,98.0392,4,0,1
f4aca,0,5,94,53.1915,4,0,1
f3792,0,5,50,100,4,0,1
db67a,0,5,8,625,4,0,1
3be2c,0,5,12,416.667,3,0,2
e3bca,0,5,20,250,0,0,5
32c2e,0,5,7,714.286,4,0,1
44230,5,5,21,238.095,0,0,5
2b718,0,5,13,384.615,0,0,5
f37c8,0,5,30,166.667,0,0,5
dc154,0,4,8,500,3,0,1
dc130,0,4,8,500,3,0,1
e4348,0,4,12,333.333,3,0,1
1bf32,0,4,7,571.429,0,0,4
f37ce,0,4,20,200,3,0,1
e3d0c,0,4,8,500,1,0,3
f497a,0,4,371,10.7817,1,0,3
e3cfe,0,4,12,333.333,3,0,1
268fa,0,4,5,800,3,0,1
30fb0,0,4,7,571.429,3,0,1
3bf36,0,4,4,1000,0,0,4
e3b58,0,4,12,333.333,3,0,1
f3aea,0,4,53,75.4717,2,0,2
258d0,0,4,9,444.444,3,0,1
219d0,0,4,10,400,3,0,1
ec148,0,4,18,222.222,0,0,4
437fa,0,4,6,666.667,0,0,4
2d25a,0,4,5,800,3,0,1
dbc96,0,4,8,500,3,0,1
f543c,0,4,4,1000,3,0,1
f118a,0,4,20,200,3,0,1
db9e2,0,4,4,1000,0,0,4
29fe2,0,4,6,666.667,3,0,1
f1074,0,4,86,46.5116,3,0,1
1835a,0,4,8,500,0,0,4
10d164,0,4,4,1000,3,0,1
dbf4c,0,4,6,666.667,2,0,2
e20ba,0,4,16,250,3,0,1
1bf20,0,4,7,571.429,0,0,4
2b0a4,0,4,13,307.692,3,0,1
c8d9a,0,4,5321,0.751738,3,0,1
c8ce8,0,4,1061,3.77003,3,0,1
2b404,0,4,6,666.667,3,0,1
dbfe6,0,4,4,1000,3,0,1
26b2a,0,4,13,307.692,3,0,1
f3d14,0,3,11,272.727,0,0,3
217d2,0,3,14,214.286,2,0,1
3bf3a,0,3,4,750,0,0,3
db9de,0,3,14,214.286,2,0,1
e18b2,0,3,27,111.111,2,0,1
f3b16,0,3,9,333.333,0,0,3
43f48,0,3,10,300,0,0,3
c8e34,0,3,5319,0.564016,2,0,1
ebae8,0,3,3,1000,0,0,3
e3cf0,0,3,12,250,0,0,3
268f4,0,3,8,375,2,0,1
d90ca,0,3,13,230.769,0,0,3
d908a,0,3,16,187.5,0,0,3
