phaseID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,average
0,4,527,2482,1309,2571,854,1008,999,306,390,240,270,321,131,152,215,446,178,337,309,317,159,1,186,183,10,0,1,0,0,0,0,0,7.19114
1,0,430,1788,1158,1378,1671,532,823,928,324,667,913,211,509,239,557,261,24,27,264,248,285,26,3,3,1,0,0,0,0,0,0,0,7.5358
2,12,1212,2133,995,1262,1294,917,726,1304,461,607,529,208,647,286,222,257,100,44,230,347,163,81,2,3,14,9,2,29,1,0,0,0,7.09371
3,0,482,1359,802,1016,2258,1064,230,671,53,1163,694,460,471,46,45,348,164,300,151,20,20,16,5,289,306,15,1,0,1,1,0,0,8.03148
4,0,346,1692,344,350,2999,344,7,346,7,1303,685,341,341,375,2,340,1,961,0,5,3,0,0,339,339,0,0,1,0,0,0,0,8.71764
5,0,3,246,4,0,7,10,11,0,2,626,1,4,2754,2618,1361,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,13.0668
6,0,0,0,6,0,6,6,6,0,0,6,0,6,3549,2370,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6668
7,0,0,0,5,0,5,6,6,0,0,6,0,5,3661,2267,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6556
8,0,474,945,479,481,3211,487,20,464,6,923,920,463,481,111,10,467,5,455,5,8,5,3,1,456,454,0,0,0,1,0,0,0,8.82223
9,0,235,2148,493,328,1840,280,50,258,32,1684,369,833,212,1033,239,174,30,799,27,5,11,5,8,173,176,0,0,1,0,0,0,0,8.73897
10,3,930,1588,1478,1259,1468,1264,644,995,425,853,669,284,387,219,258,238,225,64,242,216,223,25,6,2,15,11,4,0,0,1,0,0,7.1449
11,5,1037,1368,1441,1109,1679,892,639,941,479,664,823,321,409,266,345,280,169,63,218,243,269,11,0,0,0,5,6,0,0,0,0,0,7.30887
12,4,1076,1400,1442,1101,1627,969,645,1006,483,644,829,306,414,255,356,263,174,67,220,233,251,11,0,0,0,6,5,0,0,0,0,0,7.25321
13,8,1024,1395,1427,1090,1710,913,629,973,474,689,789,310,434,258,348,262,172,64,220,243,258,11,0,0,0,6,6,0,0,0,0,0,7.29235
14,7,1078,1384,1440,1077,1634,969,631,1004,481,669,815,305,425,258,356,255,169,71,215,237,258,11,0,0,0,5,5,0,0,0,0,0,7.26797
15,5,1024,1401,1407,1097,1706,914,640,971,476,671,799,311,430,261,354,262,173,66,220,243,253,11,0,0,0,6,6,0,0,0,0,0,7.29554
16,4,1070,1388,1445,1072,1675,974,626,998,482,671,804,310,424,258,354,254,169,70,211,236,259,11,0,0,0,5,6,0,0,0,0,0,7.259
17,4,1030,1397,1402,1091,1674,928,645,980,483,665,803,317,424,259,350,263,178,64,221,246,250,11,0,0,0,6,5,0,0,0,0,0,7.3014
18,6,1061,1383,1454,1072,1687,947,626,992,474,671,802,304,429,260,352,265,165,73,212,236,261,11,0,0,0,5,6,0,0,0,0,0,7.27061
19,8,1047,1402,1401,1075,1664,959,641,997,494,667,797,320,419,259,357,252,182,65,221,240,246,11,0,0,0,6,5,0,0,0,0,0,7.28067
20,5,1069,1390,1442,1082,1679,919,622,975,466,659,808,311,431,260,361,267,162,75,215,242,263,12,0,0,0,5,6,0,0,0,0,0,7.28544
21,6,1034,1403,1409,1079,1655,962,646,999,494,664,806,302,427,261,359,248,179,70,217,238,248,10,0,0,0,6,5,0,0,0,0,0,7.28491
22,7,1059,1380,1449,1095,1686,914,622,974,465,674,802,323,420,264,349,270,163,68,217,242,264,12,0,0,0,5,6,0,0,0,0,0,7.28332
23,6,1071,1399,1434,1076,1660,963,636,1011,477,670,810,300,430,259,352,256,178,73,214,236,246,10,0,0,0,6,5,0,0,0,0,0,7.25795
24,9,1026,1388,1424,1075,1692,911,627,975,472,674,804,317,419,265,354,262,165,68,219,245,266,12,0,0,0,5,6,0,0,0,0,0,7.30994
25,8,1066,1392,1441,1100,1661,966,639,999,487,666,811,314,423,259,354,255,177,65,215,233,244,11,0,0,0,6,5,0,0,0,0,0,7.24795
26,5,1028,1392,1414,1077,1701,908,630,976,470,679,783,320,429,260,364,261,168,67,216,245,265,11,0,0,0,5,6,0,0,0,0,0,7.30994
27,4,1065,1391,1431,1083,1647,964,638,990,476,668,831,300,425,256,345,257,174,86,216,236,245,11,0,0,0,6,5,0,0,0,0,0,7.27273
28,5,1019,1393,1487,1132,1723,1159,639,1000,524,586,791,274,458,259,405,232,112,90,208,206,238,22,0,0,0,3,3,0,0,0,0,0,7.15922
29,4,947,1387,1567,1197,1766,1346,634,1041,569,490,786,237,486,266,442,215,37,113,195,180,224,38,0,0,0,0,0,0,0,0,0,0,7.05866
30,4,939,1387,1554,1199,1763,1347,637,1045,563,488,784,244,486,261,439,221,38,112,191,184,226,37,0,0,0,0,0,0,0,0,0,0,7.06764
