phaseID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,average
0,1,443,2341,1162,2520,748,688,835,238,291,302,260,388,236,230,287,560,317,447,394,417,230,59,229,215,31,19,11,4,2,1,0,0,7.19114
1,0,412,1720,900,1533,1624,482,664,689,151,975,747,382,548,275,396,365,270,58,309,276,359,64,39,13,14,3,2,0,0,0,0,0,7.5358
2,0,1100,1962,784,1275,1240,874,653,1211,370,589,662,222,750,316,192,401,230,92,303,401,211,113,23,23,19,32,12,32,5,0,0,0,7.09371
3,0,447,1276,677,1020,2255,995,214,663,60,814,1041,447,525,65,54,419,196,318,180,38,42,27,29,294,296,44,9,0,2,4,0,0,8.03148
4,0,343,1686,343,351,2998,346,7,345,5,1294,684,341,342,1,1,714,3,965,0,6,14,1,2,339,339,0,0,1,0,0,0,0,8.71764
5,0,0,246,4,0,6,5,8,0,0,624,1,5,2752,2369,1338,255,1,16,3,2,4,10,2,0,1,1,0,0,0,0,0,0,13.0668
6,0,0,0,6,0,6,0,6,0,0,6,0,6,3555,2370,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6668
7,0,0,0,5,0,5,0,6,0,0,6,0,5,3667,2267,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6556
8,0,471,939,476,480,3210,486,20,463,7,921,921,461,485,110,12,469,8,458,5,10,4,3,4,456,455,0,0,0,1,0,0,0,8.82223
9,0,225,2138,458,327,1850,277,51,256,34,1626,422,826,225,416,239,807,38,800,30,9,17,8,12,170,173,7,0,2,0,0,0,0,8.73897
10,0,846,1425,1186,1285,1378,1171,613,951,379,728,874,304,459,273,294,337,338,111,285,271,276,47,69,22,13,45,12,1,2,1,0,0,7.1449
11,0,1007,1337,1299,1173,1668,857,639,866,400,799,833,301,481,277,311,296,278,83,203,271,269,12,6,0,0,10,6,0,0,0,0,0,7.30887
12,0,1049,1373,1302,1173,1607,943,645,932,406,775,838,290,461,278,314,286,279,88,197,265,252,11,6,0,0,12,5,0,0,0,0,0,7.25321
13,0,1000,1375,1293,1161,1704,885,636,900,394,835,781,302,480,272,304,268,279,87,200,269,255,11,5,0,0,11,6,0,0,0,0,0,7.29235
14,0,1051,1362,1313,1148,1633,940,630,939,405,815,805,301,460,272,309,262,275,96,191,267,252,11,6,0,0,11,5,0,0,0,0,0,7.26797
15,0,998,1372,1284,1169,1705,881,642,903,399,813,797,296,485,267,305,270,278,92,201,269,248,11,5,0,0,11,6,0,0,0,0,0,7.29554
16,0,1046,1374,1320,1136,1673,947,618,936,405,816,795,299,463,270,311,262,270,95,188,264,254,11,6,0,0,11,6,0,0,0,0,0,7.259
17,0,1006,1380,1276,1152,1675,905,640,908,408,806,800,295,481,269,308,267,280,90,200,273,245,11,5,0,0,11,5,0,0,0,0,0,7.3014
18,0,1036,1372,1321,1142,1684,923,618,926,394,820,794,300,466,272,308,270,267,99,190,262,255,12,6,0,0,11,6,0,0,0,0,0,7.27061
19,0,1020,1381,1277,1147,1665,932,640,924,420,804,791,299,479,268,312,262,284,90,197,270,241,11,5,0,0,11,5,0,0,0,0,0,7.28067
20,0,1041,1376,1314,1155,1675,883,626,908,384,822,790,298,480,271,308,274,265,102,195,267,257,12,6,0,0,11,6,0,0,0,0,0,7.28544
21,0,1008,1386,1277,1153,1655,936,644,938,414,801,797,297,470,267,313,258,283,93,194,268,244,10,5,0,0,11,5,0,0,0,0,0,7.28491
22,0,1034,1369,1318,1167,1681,880,627,896,389,824,790,302,477,273,311,273,266,96,197,267,258,12,6,0,0,11,6,0,0,0,0,0,7.28332
23,0,1041,1378,1307,1152,1656,935,636,944,411,789,817,296,470,270,308,262,279,97,191,264,243,10,5,0,0,12,5,0,0,0,0,0,7.25795
24,0,1004,1367,1293,1154,1692,878,629,899,399,812,792,304,473,270,310,271,271,95,200,269,261,12,6,0,0,13,6,0,0,0,0,0,7.30994
25,0,1043,1376,1311,1168,1667,935,630,941,415,794,817,299,464,268,311,264,278,90,192,262,239,11,6,0,0,11,5,0,0,0,0,0,7.24795
26,0,1004,1375,1292,1147,1694,877,636,907,392,815,779,305,482,271,315,267,272,92,196,270,259,11,5,0,0,11,6,0,0,0,0,0,7.30994
27,0,1039,1371,1299,1157,1641,936,628,931,406,787,840,292,465,268,305,264,278,111,193,266,239,11,6,0,0,12,5,0,0,0,0,0,7.27273
28,0,983,1376,1342,1203,1690,1154,619,917,434,795,727,346,461,286,345,220,244,108,192,233,245,25,5,1,4,8,4,0,0,1,0,0,7.15922
29,0,901,1387,1428,1314,1733,1355,598,898,488,786,648,413,455,301,377,149,186,113,188,187,224,38,0,0,0,0,0,0,0,0,0,0,7.05866
30,0,898,1387,1423,1313,1730,1349,600,900,486,786,653,412,452,299,373,150,188,112,187,188,226,37,0,0,0,0,0,0,0,0,0,0,7.06764
