phaseID,numBranches,numEverTakenBranches,totalMispredicts,topMispPC_0,type_0,misCnt_0,topMispPC_1,type_1,misCnt_1,topMispPC_2,type_2,misCnt_2,topMispPC_3,type_3,misCnt_3,topMispPC_4,type_4,misCnt_4
0,1695,1293,966,ca618,5,56,f3a26,0,35,4f8b4,0,33,f39f4,0,32,f4b1e,0,26
1,758,574,822,f3a26,0,152,44a2e,5,103,f4b1e,0,100,f3a2c,0,47,f3a44,0,38
2,1170,788,1485,f3a26,0,135,f4b1e,0,90,f3a32,0,39,f39f4,0,34,f43fa,0,33
3,1036,650,633,f3802,0,80,1b0a0,0,54,f3800,0,51,28ace,0,28,f3a26,0,22
4,149,93,27,3cf1e,0,10,3cf8c,0,3,3cf94,0,3,3cfd6,0,2,3cd16,0,1
5,20,17,66,3d034,0,16,4b0de,0,9,4b028,0,9,4b0f2,0,7,4b1da,0,6
6,6,5,18,4b0de,0,6,4b1ac,0,6,4b1da,0,6,4b0cc,0,0,4b0f2,0,0
7,6,5,17,4b0de,0,6,4b1ac,0,6,4b1da,0,5,4b0cc,0,0,4b0f2,0,0
8,350,198,30,f15d8,0,2,3cd16,0,2,eae00,3,1,f163e,0,1,ec158,0,1
9,376,245,132,3cf88,0,10,f3802,0,8,f3a32,0,7,4a944,0,7,ebd14,0,7
10,1517,1032,1343,f3a26,0,104,f4b1e,0,81,f3802,0,73,f3800,0,45,f3a4a,0,40
11,720,495,216,28aa8,0,12,2b6e8,0,12,a37e0,0,12,436e4,0,11,f3a26,0,9
12,683,483,204,f4b1e,0,19,f3a26,0,19,2b6e8,0,10,28aa8,0,10,a37e0,0,10
13,680,480,87,2b6e8,0,12,28aa8,0,12,a37e0,0,12,4bf78,0,6,a37b2,5,6
14,680,480,80,2b6e8,0,10,a37e0,0,10,28aa8,0,10,303c2,0,7,4bf72,5,6
15,691,488,91,28aa8,0,12,2b6e8,0,12,a37e0,0,11,a37b2,5,6,4cf22,0,5
16,678,477,76,2b6e8,0,10,a37e0,0,10,28aa8,0,10,303c2,0,6,4bf72,5,6
17,682,481,72,2b6e8,0,12,a37e0,0,12,28aa8,0,12,a37b2,5,6,4bf78,0,5
18,680,480,70,a37e0,0,11,2b6e8,0,10,28aa8,0,10,4cf22,0,7,4bf72,5,6
19,678,477,76,2b6e8,0,12,28aa8,0,12,a37e0,0,11,303c2,0,8,a37b2,5,6
20,680,480,75,2b6e8,0,11,a37e0,0,11,28aa8,0,10,303c2,0,9,4bf72,5,6
21,688,485,75,28aa8,0,12,a37e0,0,11,2b6e8,0,11,a37b2,5,6,4bf72,5,5
22,678,477,75,2b6e8,0,12,a37e0,0,11,28aa8,0,11,4cf22,0,7,4bf78,0,6
23,680,480,92,a37e0,0,11,28aa8,0,11,2b6e8,0,10,437fa,0,10,303c2,0,7
24,717,494,104,437fa,0,12,28aa8,0,12,2b6e8,0,12,a37e0,0,11,4bf72,5,8
25,678,477,81,437fa,0,12,2b6e8,0,10,a37e0,0,10,28aa8,0,10,436e4,0,6
26,678,477,76,2b6e8,0,12,28aa8,0,12,a37e0,0,11,437fa,0,10,4bf78,0,6
27,695,492,97,437fa,0,12,a37e0,0,11,4cf22,0,11,28aa8,0,10,2b6e8,0,10
28,765,546,161,f3802,0,21,f3800,0,14,2b70a,0,10,2b71e,0,10,28aa8,0,9
29,223,157,73,2b71e,0,38,2b70a,0,35,f1066,0,0,41636,2,0,4166a,4,0
30,223,157,73,2b71e,0,37,2b70a,0,36,f1066,0,0,41636,2,0,4166a,4,0
