subPhaseID,numBranches,numEverTakenBranches,totalMispredicts,topMispPC_0,type_0,misCnt_0,topMispPC_1,type_1,misCnt_1,topMispPC_2,type_2,misCnt_2,topMispPC_3,type_3,misCnt_3,topMispPC_4,type_4,misCnt_4
0,524,362,325,5399e,0,25,122ce2,0,13,f4914,0,10,539c2,0,9,f3726,0,8
1,75,47,19,4f8b4,0,7,5106e,0,4,638da,0,2,638b8,0,2,c03fc,0,1
2,19,13,6,cc6de,0,1,108a92,0,1,f7c54,0,1,f7b86,0,1,f7bfa,3,1
3,130,99,183,f39f4,0,32,f453a,0,16,f39e8,0,13,f3a3e,0,12,f3a2c,0,10
4,243,181,85,4f8b4,0,16,519da,0,4,54296,0,4,54278,0,4,54048,0,4
5,203,138,21,4bf72,5,8,83ffa,0,5,d8e0e,0,2,ca618,5,2,4d7ce,0,2
6,350,270,72,ca618,5,19,d8e32,0,5,f173e,0,3,f3a26,0,3,f495c,0,3
7,278,219,41,ca618,5,23,f493a,0,4,d8e32,0,2,f118a,0,2,43f4c,0,1
8,454,307,118,f3a26,0,12,ca618,5,10,f4b1e,0,6,e687c,0,3,f21d6,0,3
9,217,159,96,f4b1e,0,14,44a2e,5,13,f3a26,0,8,f3a44,0,7,f3a32,0,6
10,216,157,70,44a2e,5,17,f4b1e,0,14,f3a26,0,11,f3a32,0,6,f3a50,0,4
11,216,158,73,44a2e,5,16,f3a26,0,12,f4b1e,0,9,f3a38,0,6,f3a50,0,6
12,210,154,91,f3a26,0,19,44a2e,5,15,f4b1e,0,10,f3a44,0,9,303cc,0,5
13,216,156,60,44a2e,5,17,f3a26,0,8,f4b1e,0,6,f4ba0,0,5,f3a50,0,4
14,198,144,59,44a2e,5,17,f4b1e,0,11,f3a3e,0,9,f3a44,0,6,f3a4a,0,3
15,223,164,106,f3a26,0,25,f4b1e,0,10,f3a32,0,8,44a2e,5,6,f22be,0,6
16,181,125,88,f3a26,0,17,f4b1e,0,16,f3a2c,0,9,f21c2,0,6,f3a50,0,6
17,201,141,97,f3a26,0,15,f4b1e,0,9,f3a4a,0,9,f3a2c,0,6,f3802,0,5
18,207,143,65,f3a26,0,14,f3a2c,0,11,f4b1e,0,6,f3a32,0,5,f3a3e,0,5
19,267,199,113,f3a26,0,30,1c58e,0,9,f4b1e,0,9,f4abc,0,6,44a2e,5,6
20,494,327,251,f3a26,0,16,f4b1e,0,13,f43fa,0,9,f445c,0,8,f446c,0,8
21,326,214,159,f4b1e,0,14,f3a26,0,12,1c8fa,0,10,f4b0e,0,8,f4af2,0,5
22,378,264,121,f4b1e,0,13,f4abc,0,7,f43fa,0,6,f3a26,0,5,f3a44,0,4
23,327,223,95,f4b1e,0,10,f39f4,0,7,f3a26,0,7,f3a2c,0,6,f3a32,0,5
24,375,255,126,f3a26,0,15,f4b1e,0,8,f445c,0,5,21518,0,5,21552,0,5
25,354,242,107,f3a26,0,14,f4b1e,0,9,f39e8,0,5,f446c,0,5,f43fa,0,4
26,318,219,109,f3a26,0,15,f4b1e,0,8,f43fa,0,6,f39f4,0,6,f445c,0,5
27,468,315,125,f3a26,0,13,f4b1e,0,6,f22be,0,4,f3a38,0,4,f39f4,0,4
28,517,317,278,f3800,0,18,f3a26,0,17,1b0a0,0,16,f3a32,0,13,f3802,0,12
29,164,110,114,f3a26,0,21,f3802,0,12,1b0a0,0,11,f3a2c,0,10,f3a32,0,9
30,65,45,83,1b0a0,0,27,f3802,0,17,f3800,0,13,f3a32,0,8,1b0b6,0,5
31,208,139,162,f3802,0,31,28ace,0,17,f3800,0,16,1b0a0,0,15,f3a26,0,10
32,502,313,198,f3802,0,22,f3800,0,12,28ace,0,10,f3a26,0,7,1b0a0,0,6
33,586,350,184,f3800,0,10,f3802,0,10,1b0a0,0,6,f3a2c,0,4,1b0fc,0,4
34,28,16,6,f4b1e,0,3,ea63e,0,2,3cd28,0,1,e632a,1,0,f4b30,4,0
35,28,16,0,e632a,1,0,f4b30,4,0,f4b1e,0,0,f4b0e,0,0,f4abc,0,0
36,28,16,0,e632a,1,0,f4b30,4,0,f4b1e,0,0,f4b0e,0,0,f4abc,0,0
37,28,16,0,e632a,1,0,f4b30,4,0,f4b1e,0,0,f4b0e,0,0,f4abc,0,0
38,28,16,0,e632a,1,0,f4b30,4,0,f4b1e,0,0,f4b0e,0,0,f4abc,0,0
39,28,16,0,e632a,1,0,f4b30,4,0,f4b1e,0,0,f4b0e,0,0,f4abc,0,0
40,28,16,0,e632a,1,0,f4b30,4,0,f4b1e,0,0,f4b0e,0,0,f4abc,0,0
41,28,16,0,e632a,1,0,f4b30,4,0,f4b1e,0,0,f4b0e,0,0,f4abc,0,0
42,28,16,0,e632a,1,0,f4b30,4,0,f4b1e,0,0,f4b0e,0,0,f4abc,0,0
43,28,16,0,e632a,1,0,f4b30,4,0,f4b1e,0,0,f4b0e,0,0,f4abc,0,0
44,28,16,0,e632a,1,0,f4b30,4,0,f4b1e,0,0,f4b0e,0,0,f4abc,0,0
45,28,16,0,e632a,1,0,f4b30,4,0,f4b1e,0,0,f4b0e,0,0,f4abc,0,0
46,28,16,0,e632a,1,0,f4b30,4,0,f4b1e,0,0,f4b0e,0,0,f4abc,0,0
47,145,88,21,3cf1e,0,10,3cf8c,0,2,3cf94,0,2,eac76,5,1,f0446,0,1
48,3,2,0,3cf88,0,0,3cf8c,0,0,3cf94,0,0
49,7,7,6,3cfd6,0,2,3cf88,0,1,3cf8c,0,1,3cf94,0,1,3cfe4,0,1
50,4,4,20,3d034,0,16,3d072,0,2,3cfd6,0,1,3cfe4,0,1
51,10,8,14,4b028,0,8,4afda,0,4,1e60a,5,1,3d072,0,1,1e602,0,0
52,5,3,11,4b0f2,0,7,4b06a,0,3,4b028,0,1,4b0cc,0,0,4b0de,0,0
53,5,4,6,4b1ac,0,3,4b1da,0,2,4b0de,0,1,4b0cc,0,0,4b0f2,0,0
54,5,3,6,4b0de,0,5,4b1da,0,1,4b0cc,0,0,4b0f2,0,0,4b208,1,0
55,5,4,2,4b0de,0,1,4b1ac,0,1,4b0cc,0,0,4b0f2,0,0,4b1da,0,0
56,5,3,1,4b1da,0,1,4b0cc,0,0,4b0de,0,0,4b0f2,0,0,4b208,1,0
57,6,5,3,4b0de,0,1,4b1ac,0,1,4b1da,0,1,4b0cc,0,0,4b0f2,0,0
58,4,3,1,4b0de,0,1,4b0cc,0,0,4b0f2,0,0,4b1ac,0,0
59,6,4,2,4b1ac,0,1,4b1da,0,1,4b0cc,0,0,4b0de,0,0,4b0f2,0,0
60,5,4,2,4b0de,0,1,4b1ac,0,1,4b0cc,0,0,4b0f2,0,0,4b1da,0,0
61,5,3,1,4b1da,0,1,4b0cc,0,0,4b0de,0,0,4b0f2,0,0,4b208,1,0
62,5,4,2,4b0de,0,1,4b1ac,0,1,4b0cc,0,0,4b0f2,0,0,4b1da,0,0
63,6,5,2,4b0de,0,1,4b1da,0,1,4b0cc,0,0,4b0f2,0,0,4b1ac,0,0
64,6,4,2,4b1ac,0,1,4b1da,0,1,4b0cc,0,0,4b0de,0,0,4b0f2,0,0
65,5,4,2,4b0de,0,1,4b1ac,0,1,4b0cc,0,0,4b0f2,0,0,4b1da,0,0
66,5,3,1,4b1da,0,1,4b0cc,0,0,4b0de,0,0,4b0f2,0,0,4b208,1,0
67,5,4,2,4b0de,0,1,4b1ac,0,1,4b0cc,0,0,4b0f2,0,0,4b1da,0,0
68,5,3,1,4b1da,0,1,4b0cc,0,0,4b0de,0,0,4b0f2,0,0,4b208,1,0
69,6,5,3,4b0de,0,1,4b1ac,0,1,4b1da,0,1,4b0cc,0,0,4b0f2,0,0
70,4,3,1,4b0de,0,1,4b0cc,0,0,4b0f2,0,0,4b1ac,0,0
71,6,4,2,4b1ac,0,1,4b1da,0,1,4b0cc,0,0,4b0de,0,0,4b0f2,0,0
72,5,4,2,4b0de,0,1,4b1ac,0,1,4b0cc,0,0,4b0f2,0,0,4b1da,0,0
73,5,3,1,4b1da,0,1,4b0cc,0,0,4b0de,0,0,4b0f2,0,0,4b208,1,0
74,5,4,2,4b0de,0,1,4b1ac,0,1,4b0cc,0,0,4b0f2,0,0,4b1da,0,0
75,6,5,2,4b0de,0,1,4b1da,0,1,4b0cc,0,0,4b0f2,0,0,4b1ac,0,0
76,6,4,2,4b1ac,0,1,4b1da,0,1,4b0cc,0,0,4b0de,0,0,4b0f2,0,0
77,5,4,2,4b0de,0,1,4b1ac,0,1,4b0cc,0,0,4b0f2,0,0,4b1da,0,0
78,5,3,1,4b1da,0,1,4b0cc,0,0,4b0de,0,0,4b0f2,0,0,4b208,1,0
79,5,4,2,4b0de,0,1,4b1ac,0,1,4b0cc,0,0,4b0f2,0,0,4b1da,0,0
80,350,198,30,f15d8,0,2,3cd16,0,2,eae00,3,1,f163e,0,1,ec158,0,1
81,28,16,0,e632a,1,0,f4b30,4,0,f4b1e,0,0,f4b0e,0,0,f4abc,0,0
82,28,16,0,e632a,1,0,f4b30,4,0,f4b1e,0,0,f4b0e,0,0,f4abc,0,0
83,28,16,0,e632a,1,0,f4b30,4,0,f4b1e,0,0,f4b0e,0,0,f4abc,0,0
84,28,16,0,e632a,1,0,f4b30,4,0,f4b1e,0,0,f4b0e,0,0,f4abc,0,0
