Hist,count
3ffff,479
3ef53,240
2016b,213
2fdfb,193
12979,131
3fffe,130
1555d,119
12492,112
13f55,104
5af,103
3fed3,101
c4a7,100
2bfed,100
3ebfe,100
27eab,100
3ff5e,99
3fab5,99
3d562,98
17b6f,98
94bc,98
10fea,98
2eb80,96
1fff7,91
2abe1,91
78fc,90
3c0f1,90
dee4,90
3f7ef,89
21caf,89
15555,88
2e4dc,87
25cab,82
28eea,75
1077d,74
252f3,64
b5e,61
9249,61
3efdf,57
35fdb,57
3fffd,57
12497,55
2aaae,52
3cfdc,49
33f71,49
39ffc,49
5889,42
3fffb,38
13889,35
3effe,34
10cae,33
2b50b,33
3726e,33
16bd,32
2ffff,30
37a9d,29
3f7ff,29
aaae,28
3fffc,28
8887,28
1fbf7,28
3bbf7,27
36f03,27
3feff,27
924b,27
3ffbf,26
dfd,26
38eea,26
3a9eb,26
3fbff,26
3ff7f,25
2aabb,25
3efde,24
2492f,24
1ffff,23
6feb,23
9263,23
3dfbb,22
3fff7,22
3bd4f,21
30cae,21
37ef0,21
37fff,20
3dfbf,20
21deb,20
15557,19
2a6b5,19
25252,19
3ffdf,19
3bfff,19
3fdff,18
38eeb,17
37a9a,17
357e5,17
12525,17
3fff9,16
2f53b,16
3dfff,16
13a76,15
11111,15
3ffef,15
2aaab,15
3dea7,15
33fff,15
1dfeb,14
3efff,14
3077d,14
35555,14
3efdd,14
24925,13
3bf7f,12
3fff3,12
3fe7f,12
22f77,12
277fd,12
277fe,12
38b11,12
3dffc,12
3be2f,12
33555,11
3ff9f,11
3ffcf,11
25555,11
1ddfb,11
20383,11
3c3bd,11
efd,11
1b8db,11
2f079,10
1edfb,10
2dfbf,10
2ecdc,10
3ffdb,10
1bfff,10
deec,10
274ec,10
23bff,10
6195,10
3a9d0,10
37fdb,10
3fbaf,10
15577,10
3cffe,10
3d4e8,10
3d555,10
125eb,9
3bbfd,9
29292,9
3fffa,9
37ff7,9
36fff,9
39faf,9
2aaef,9
3fff5,9
2fff7,9
2fffd,9
1dffd,9
efff,9
effd,9
24bd7,9
32186,9
16b7f,9
7fff,9
ffff,9
3cfc,9
3dfba,9
2877b,9
22711,9
3effd,8
124c7,8
6231,8
3dfb5,8
3d527,8
12557,8
66e3,8
3beb,8
2d7b,8
2f1dd,8
3bfeb,8
6e30,8
2fdff,8
19659,8
24a4a,8
2ffeb,8
15575,8
202e3,8
19249,8
22221,8
1d555,8
1ffdb,8
129ff,8
2ff2f,8
1576b,8
12925,8
37ffd,8
77eb,8
3ffe7,8
aaf8,7
3ff81,7
3df97,7
3af65,7
925f,7
2aabf,7
3ffeb,7
39555,7
1ea7b,7
d555,7
3e5ff,7
2ac48,7
3ffed,7
3dbff,7
3fff6,7
155e3,7
1570b,7
1555f,7
2fab5,7
37feb,7
1cf53,7
37555,7
3ffaf,7
3faf5,7
124a5,7
15559,7
2fdf5,7
1df7,7
3ff9b,7
1fbff,7
68d1,7
3f7fb,7
2ff7f,6
3fc76,6
3bc77,6
33652,6
3fbf7,6
335ff,6
4443,6
19aab,6
155c2,6
925d,6
21bdd,6
9252,6
e2f,6
2aaaf,6
a525,6
3ff3f,6
1bfb,6
15545,6
3bffb,6
3bfdb,6
36fda,6
92f5,6
3fe5f,6
0,6
3719b,6
3dbf7,6
1fff9,6
1fffb,6
efdb,6
2ffdf,6
37ef5,6
2fd7f,6
2fdb6,6
2f015,6
2de9a,6
37ffe,6
3805a,6
24a52,6
e7a9,6
15c86,6
dfdb,6
26aab,6
2f00b,6
effb,6
3f7ea,6
25adf,6
27ebf,6
6fff,6
37ed5,6
2d6b5,6
2e31b,6
2f51d,5
36fdf,5
39249,5
2aaff,5
3bf7d,5
36ff7,5
17df9,5
3bfdf,5
36ff3,5
3bfbf,5
38ffc,5
2f0ef,5
2aea9,5
36eff,5
17e2f,5
36e36,5
15c02,5
35ede,5
33f3f,5
2aaba,5
2efff,5
30bff,5
35ec5,5
35e83,5
341df,5
3b7fb,5
2d249,5
37dff,5
2fdf9,5
3afc5,5
2fdf0,5
3aff9,5
2d6ff,5
2cd55,5
10e2f,5
37edf,5
2fde0,5
155d7,5
3b7ef,5
dffd,5
2fdd8,5
2f53a,5
3766e,5
3b937,5
2fdbf,5
17015,5
2fdab,5
142d0,5
2fd01,5
37fdf,5
bfff,5
12493,5
12496,5
175f7,5
2ae85,5
2e3b3,5
2f6ff,5
3df17,5
1fff,5
297ef,5
21fff,5
9492,5
3fff,5
3f7fe,5
4891,5
3dbfc,5
1fe5f,5
92ab,5
3ff03,5
1fbb1,5
236e3,5
3f555,5
5f55,5
3f71b,5
1dffb,5
285a1,5
3f2ff,5
3f157,5
3dfb7,5
3f154,5
3dfbe,5
1dfea,5
2493f,5
8618,5
253ff,5
2577f,5
3e9d3,5
25fff,5
1f7bf,5
20abe,5
1ffaf,5
1ffbf,5
3fdec,5
a492,5
17fff,5
1ea70,5
2d7,5
3fbfb,5
1ecbc,5
18555,5
186e3,5
3faff,5
2037f,5
35edf,4
2524a,4
3efcb,4
3efda,4
386f7,4
1b249,4
2494a,4
1b6db,4
30ff,4
3ff55,4
2fe85,4
1ffeb,4
2195d,4
1d1dd,4
2f6f3,4
3f97f,4
3fd55,4
3f249,4
f5fe,4
124bf,4
3edff,4
3fe07,4
1ff7f,4
297e,4
25965,4
1ff0f,4
1f7ff,4
3ecfc,4
3ed55,4
38ecb,4
3f365,4
15c2f,4
37b7f,4
eeea,4
38c0e,4
72be,4
2ebef,4
3ff5f,4
7017,4
30aab,4
1dfb,4
2e30,4
22aeb,4
1fbf6,4
37eec,4
373ff,4
3f7be,4
12630,4
103bf,4
1d93e,4
37eff,4
10705,4
1bffd,4
37ff,4
2231e,4
2ffbf,4
124cf,4
3f7ed,4
3feb1,4
3f7f7,4
3fe6a,4
37fef,4
124c6,4
3f3ff,4
37fe7,4
3055f,4
2feff,4
2f955,4
377fe,4
3f54b,4
3f352,4
1574d,4
371db,4
37fbf,4
1fbb0,4
30157,4
1cf52,4
55eb,4
1fedd,4
15663,4
2a492,4
3de0f,4
c5d7,4
2b5af,4
1e017,4
5fd,4
1386f,4
3decd,4
14a4a,4
