pc,type,mispredicts,total,misPermil,dirMiss,tgtMiss,noPredMiss
44a2e,5,118,118,1000,0,117,1
a37e0,0,206,213,967,0,0,206
2b6e8,0,201,404,497,101,0,100
a37b2,5,104,213,488,0,0,104
2b71e,0,96,206,466,3,0,93
4bf72,5,119,263,452,0,11,108
4bf78,0,104,263,395,3,0,101
437fa,0,78,200,390,0,0,78
f43fa,0,33,107,308,32,0,1
f446c,0,29,103,281,27,0,2
f39f4,0,66,288,229,64,0,2
2b70a,0,91,406,224,0,0,91
f37c8,0,60,321,186,4,0,56
28aa8,0,211,1348,156,109,0,102
f453a,0,16,111,144,14,0,2
f16aa,0,15,105,142,13,0,2
f37a0,0,56,440,127,4,0,52
44050,0,13,126,103,0,0,13
18abe,0,38,404,94,0,0,38
f3afc,0,10,122,81,7,0,3
f4b50,3,86,1070,80,0,85,1
2f83a,0,8,102,78,7,0,1
f39fa,0,22,312,70,18,0,4
21562,0,19,289,65,17,0,2
1b07a,0,12,184,65,11,0,1
f3a50,0,71,1116,63,70,0,1
258d0,0,6,104,57,5,0,1
f4ba0,0,68,1198,56,66,0,2
303c2,0,86,1558,55,57,0,29
f37ce,0,6,116,51,3,0,3
f3a26,0,520,10120,51,491,0,29
f3a4a,0,110,2145,51,109,0,1
f3a44,0,129,2530,50,128,0,1
219aa,0,37,729,50,36,0,1
f3780,0,46,916,50,44,0,2
f3788,0,23,466,49,22,0,1
2b718,0,10,206,48,0,0,10
a34ae,0,11,230,47,10,0,1
4404a,0,6,127,47,5,0,1
f3b94,0,5,108,46,4,0,1
d8e32,0,8,181,44,7,0,1
28688,0,35,830,42,33,0,2
1b0fc,0,29,728,39,28,0,1
4b028,0,9,227,39,1,0,8
f3a3e,0,121,3054,39,94,0,27
2b308,0,4,101,39,3,0,1
a4180,0,4,105,38,3,0,1
3d034,0,17,454,37,2,0,15
215a8,0,10,270,37,9,0,1
f4914,0,21,576,36,12,0,9
f3ae4,0,11,304,36,8,0,3
1b0a0,0,102,2854,35,101,0,1
f3a32,0,127,3604,35,119,0,8
f22be,0,113,3269,34,112,0,1
f118a,0,9,262,34,8,0,1
4423e,0,7,209,33,5,0,2
a37a0,0,7,213,32,2,0,5
18aae,0,13,402,32,12,0,1
f3a2c,0,137,4302,31,123,0,14
ef856,0,4,127,31,1,0,3
4a944,0,7,227,30,1,0,6
4cf22,0,99,3265,30,62,0,37
2aad4,0,3,100,30,2,0,1
f3726,0,14,471,29,11,0,3
f3b74,0,13,441,29,12,0,1
2446e,0,3,102,29,2,0,1
24420,0,3,102,29,2,0,1
278ec,0,3,102,29,2,0,1
278d6,5,3,102,29,0,2,1
a41b8,0,3,103,29,2,0,1
a417a,0,3,105,28,1,0,2
f3aea,0,6,212,28,5,0,1
a37b6,0,6,213,28,4,0,2
3bf66,0,18,642,28,13,0,5
2152a,0,8,289,27,7,0,1
f3792,0,12,447,26,10,0,2
4d05e,0,15,566,26,14,0,1
44046,0,46,1766,26,45,0,1
f3b08,0,3,117,25,1,0,2
f3a38,0,86,3426,25,74,0,12
2b404,0,5,200,25,4,0,1
29fe2,0,5,200,25,4,0,1
26918,0,10,408,24,9,0,1
f4abc,0,125,5121,24,124,0,1
21552,0,7,289,24,6,0,1
1c1d8,0,3,127,23,2,0,1
a37fc,0,5,213,23,2,0,3
f491a,0,25,1154,21,24,0,1
4f8b4,0,33,1536,21,32,0,1
f37be,0,7,331,21,5,0,2
21518,0,6,293,20,5,0,1
1b0b6,0,43,2116,20,42,0,1
f3802,0,287,14301,20,285,0,2
19116,0,2,100,20,1,0,1
2b40c,0,2,100,20,1,0,1
2b302,0,2,101,19,1,0,1
268f4,0,4,204,19,3,0,1
2792c,5,2,102,19,0,1,1
278e0,5,2,102,19,0,0,2
1cfe0,0,2,102,19,1,0,1
1f036,0,2,102,19,1,0,1
2c9c6,0,2,102,19,0,0,2
268ce,0,2,102,19,1,0,1
32028,5,2,103,19,0,1,1
a4190,0,2,103,19,0,0,2
a4194,0,2,103,19,0,0,2
303cc,0,26,1345,19,19,0,7
f4af2,0,19,1088,17,18,0,1
4f67e,0,2,116,17,0,0,2
44a32,0,2,118,16,1,0,1
d8e0e,0,3,182,16,2,0,1
28ae2,0,31,1930,16,30,0,1
638b8,0,2,128,15,0,0,2
f378c,0,7,455,15,5,0,2
f1182,0,36,2343,15,35,0,1
28ace,0,42,2764,15,39,0,3
f48fe,0,17,1154,14,16,0,1
2b044,0,3,204,14,2,0,1
a49c8,0,3,205,14,2,0,1
4d0ee,0,6,418,14,5,0,1
2afa0,0,3,209,14,2,0,1
2af4c,0,3,209,14,2,0,1
4d08e,0,2,148,13,0,0,2
f3bb2,0,6,446,13,4,0,2
437da,0,4,300,13,0,0,4
1cf50,0,16,1224,13,15,0,1
f4b0e,0,66,5121,12,65,0,1
283e6,0,4,311,12,3,0,1
4bf84,0,2,158,12,0,0,2
2aac8,0,5,400,12,2,0,3
f495c,0,34,2745,12,28,0,6
f494c,0,14,1154,12,13,0,1
f37b0,0,4,335,11,1,0,3
f37a6,0,4,338,11,2,0,2
638da,0,3,256,11,1,0,2
f21c2,0,38,3277,11,35,0,3
f39e8,0,49,4326,11,48,0,1
f3800,0,178,15733,11,177,0,1
f379c,0,5,442,11,4,0,1
f4b1e,0,365,33391,10,362,0,3
1cf3a,0,17,1632,10,15,0,2
435da,0,1,100,10,0,0,1
29984,5,1,100,10,0,0,1
2aa76,0,1,100,10,0,0,1
2aa90,0,1,100,10,0,0,1
41050,3,1,100,10,0,0,1
41476,0,1,100,10,0,0,1
41488,0,1,100,10,0,0,1
28b1c,0,1,100,10,0,0,1
28b28,0,1,100,10,0,0,1
4149c,0,1,100,10,0,0,1
2c032,0,1,100,10,0,0,1
19086,5,1,100,10,0,0,1
278fa,5,1,100,10,0,0,1
30958,0,1,100,10,0,0,1
42f88,0,1,100,10,0,0,1
43cb0,0,1,100,10,0,0,1
43646,0,1,100,10,0,0,1
43634,0,1,100,10,0,0,1
f493a,0,39,3921,9,36,0,3
2b2f8,5,1,101,9,0,0,1
440ec,5,1,101,9,0,0,1
1cebc,0,1,101,9,0,0,1
a41ec,0,1,101,9,0,0,1
2b712,0,4,406,9,3,0,1
2443e,0,1,102,9,0,0,1
3029e,0,1,102,9,0,0,1
278fc,0,1,102,9,0,0,1
27942,5,1,102,9,0,0,1
198f8,3,1,102,9,0,0,1
198f2,0,1,102,9,0,0,1
278ea,5,1,102,9,0,0,1
3028a,5,1,102,9,0,0,1
1f11c,0,1,102,9,0,0,1
1f046,0,1,102,9,0,0,1
1ce84,0,1,102,9,0,0,1
1f030,5,1,102,9,0,0,1
24466,5,1,102,9,0,0,1
1ceb6,0,1,102,9,0,0,1
243f2,5,1,102,9,0,0,1
1f018,5,1,102,9,0,0,1
43f48,0,2,205,9,0,0,2
31ff0,0,1,103,9,0,0,1
4375c,0,31,3200,9,30,0,1
19860,3,1,104,9,0,0,1
44230,5,2,209,9,0,0,2
2afdc,0,1,105,9,0,0,1
2afc8,0,1,107,9,0,0,1
436e4,0,34,3700,9,32,0,2
3bf70,0,4,440,9,3,0,1
