schema_version,profiler_name,sample_index,tick,retired_macro_insts,pc,stack_depth,stack_addresses
1,system.guest_stack_profilers0,0,1378545015,1,0x11516,2,0x11516;0x11516
1,system.guest_stack_profilers0,1,1378635930,1000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,2,1379024820,2000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,3,1379100075,3000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,4,1379254500,4000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,5,1379560305,5000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,6,1379801730,6000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,7,1380087525,7000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,8,1380689565,8000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,9,1380763080,9000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,10,1380906630,10000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,11,1381085415,11000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,12,1381397310,12000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,13,1381650480,13000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,14,1382243385,14000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,15,1382316900,15000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,16,1382457840,16000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,17,1382728845,17000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,18,1383002025,18000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,19,1383250845,19000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,20,1383929445,20000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,21,1384004265,21000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,22,1384160865,22000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,23,1384358790,23000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,24,1384628925,24000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,25,1384823805,25000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,26,1385099595,26000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,27,1385596365,27000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,28,1385750355,28000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,29,1385943495,29000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,30,1386131415,30000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,31,1386744765,31000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,32,1386928335,32000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,33,1387484265,33000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,34,1387555605,34000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,35,1387801380,35000,0x1151a,2,0x11516;0x1151a
