address,function,source,resolved
0x1636c,TokenRingMAC::TokenRingMAC(),??:?,True
0x1642c,TokenRingMAC__create(),token.cc:?,True
0x17e24,Sink__create(),sink.cc:?,True
0x17f34,Generator__create(),gen.cc:?,True
0x182b2,_getModuleType(char const*),computer_n.cc:?,True
0x18320,_readModuleParameters(cModule*),computer_n.cc:?,True
0x1836a,"_checkGate(cModule*, char const*)",computer_n.cc:?,True
0x1856e,Computer::doBuildInside(),??:?,True
0x197ee,"cEnvir::getParameter[abi:cxx11](int, char const*)",??:?,True
0x19804,"cEnvir::getParameter[abi:cxx11](int, char const*)",??:?,True
0x198e4,cEnvir::moduleCreated(cModule*),??:?,True
0x19e90,cEnvir::getRNGMappingFor(cModule*),??:?,True
0x1a986,"cIniFile::getAsCustom2(char const*, char const*, char const*, char const*)",??:?,True
0x1b026,"cIniFile::_findEntry(char const*, char const*)",??:?,True
0x1b0ae,"cIniFile::_findEntry(char const*, char const*)",??:?,True
0x1b0b0,"cIniFile::_findEntry(char const*, char const*)",??:?,True
0x1b0c0,"cIniFile::_findEntry(char const*, char const*)",??:?,True
0x1b0e2,"cIniFile::_findEntry(char const*, char const*)",??:?,True
0x1b0ec,"cIniFile::_findEntry(char const*, char const*)",??:?,True
0x1b10c,"cIniFile::_findEntry(char const*, char const*)",??:?,True
0x1bf02,"cIniFile::getAsCustom(char const*, char const*, char const*)",??:?,True
0x1c1ae,"cIniFile::getAsBool(char const*, char const*, bool)",??:?,True
0x1ce02,"cIniFile::getEntriesWithPrefix(char const*, char const*, char const*)",??:?,True
0x1cf44,"cIniFile::getEntriesWithPrefix(char const*, char const*, char const*)",??:?,True
0x1d0d2,"cIniFile::getEntriesWithPrefix(char const*, char const*, char const*)",??:?,True
0x1f028,TOmnetApp::getRNGMappingFor(cModule*),??:?,True
0x1f6f0,"TOmnetApp::getParameter[abi:cxx11](int, char const*)",??:?,True
0x20e32,"void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)",??:?,True
0x2174c,"cPatternMatcher::doMatch(char const*, int, int)",??:?,True
0x2176c,"cPatternMatcher::doMatch(char const*, int, int)",??:?,True
0x21798,"cPatternMatcher::doMatch(char const*, int, int)",??:?,True
0x2184c,"cPatternMatcher::doMatch(char const*, int, int)",??:?,True
0x21930,cPatternMatcher::matches(char const*),??:?,True
0x2195c,cPatternMatcher::matches(char const*),??:?,True
0x21988,cPatternMatcher::matches(char const*),??:?,True
0x219f6,"cPatternMatcher::patternPrefixMatches(char const*, int)",??:?,True
0x21a82,"cPatternMatcher::patternPrefixMatches(char const*, int)",??:?,True
0x25744,"cCoroutine::setup(void (*)(void*), void*, unsigned int)",??:?,True
0x257b2,"cCoroutine::setup(void (*)(void*), void*, unsigned int)",??:?,True
0x257de,"cModuleType::create(char const*, cModule*)",??:?,True
0x268b8,cModuleInterface::addParametersGatesTo(cModule*),??:?,True
0x26928,cModuleInterface::addParametersGatesTo(cModule*),??:?,True
0x26ae0,cModuleInterface::checkParametersOf(cModule*),??:?,True
0x26b5e,cModuleInterface::checkParametersOf(cModule*),??:?,True
0x2839a,"cArray::cArray(char const*, int, int)",??:?,True
0x28664,cArray::add(cObject*),??:?,True
0x28a98,cArray::find(char const*) const,??:?,True
0x28a9a,cArray::find(char const*) const,??:?,True
0x28aa6,cArray::find(char const*) const,??:?,True
0x28ad2,cArray::find(char const*) const,??:?,True
0x28bd4,cArray::get(int),??:?,True
0x28be0,cArray::get(int),??:?,True
0x28bec,cArray::get(int) const,??:?,True
0x28bfe,cArray::get(int) const,??:?,True
0x28c04,cArray::get(char const*),??:?,True
0x28c22,cArray::get(char const*),??:?,True
0x29540,"cGate::fullPath(char*, int) const [clone .part.0]",cgate.cc:?,True
0x295ea,cGate::fullPath[abi:cxx11]() const,??:?,True
0x298d4,"cGate::cGate(char const*, char)",??:?,True
0x29944,"cGate::connectTo(cGate*, cChannel*)",??:?,True
0x2ab48,cModule::buildInside(),??:?,True
0x2af20,"cModule::fullPath(char*, int) const [clone .part.0]",cmodule.cc:?,True
0x2af34,"cModule::fullPath(char*, int) const [clone .part.0]",cmodule.cc:?,True
0x2af76,"cModule::fullPath(char*, int) const [clone .part.0]",cmodule.cc:?,True
0x2aff6,"cModule::fullPath(char*, int) const",??:?,True
0x2b018,cModule::fullPath[abi:cxx11]() const,??:?,True
0x2b042,cModule::fullPath[abi:cxx11]() const,??:?,True
0x2b6d2,"cModule::findGate(char const*, int) const",??:?,True
0x2b708,"cModule::findGate(char const*, int) const",??:?,True
0x2b75e,"cModule::addGate(char const*, char, bool)",??:?,True
0x2bc4a,"cModule::gate(char const*, int)",??:?,True
0x2bcea,cModule::par(int),??:?,True
0x2bcfc,cModule::par(int),??:?,True
0x2bd0a,cModule::par(int),??:?,True
0x2bd60,cModule::addPar(char const*),??:?,True
0x2be64,cModule::par(char const*),??:?,True
0x2be76,cModule::par(char const*),??:?,True
0x2c024,"cModule::setDisplayString(char const*, bool)",??:?,True
