schema_version,profiler_name,sample_index,tick,retired_macro_insts,pc,stack_depth,stack_addresses
1,system.guest_stack_profilers1,0,1378506735,1,0xd90ce,2,0xd90ce;0xd90ce
1,system.guest_stack_profilers1,1,1390283925,1000,0xf3a1a,6,0xd90ce;0x2c024;0x4368a;0x3bfc4;0xf39e4;0xf3a1a
1,system.guest_stack_profilers1,2,1393774800,2000,0x4384a,4,0xd90ce;0x2c024;0x4368a;0x4384a
1,system.guest_stack_profilers1,3,1398442785,3000,0xf1660,7,0xd90ce;0x257de;0x17f34;0x4cf1a;0xf21a0;0xf104a;0xf1660
1,system.guest_stack_profilers1,4,1399487220,4000,0xf2304,11,0xd90ce;0x257de;0x17f34;0x2d20e;0x2c5b6;0x2839a;0x308f4;0x44032;0x4cf66;0xf21a0;0xf2304
1,system.guest_stack_profilers1,5,1401754005,5000,0x303f4,5,0xd90ce;0x257de;0x2c9b6;0x303a8;0x303f4
1,system.guest_stack_profilers1,6,1406028315,6000,0x2af34,8,0xd90ce;0x257de;0x19e90;0x2b018;0x2af20;0x2af20;0x2af20;0x2af34
1,system.guest_stack_profilers1,7,1407007500,7000,0xf4aaa,9,0xd90ce;0x257de;0x19e90;0x2b018;0x2af20;0x2af20;0x3c0a4;0xf3bf8;0xf4aaa
1,system.guest_stack_profilers1,8,1407961020,8000,0xf4aa8,6,0xd90ce;0x257de;0x19e90;0x2b018;0xf4aa8;0xf4aa8
1,system.guest_stack_profilers1,9,1409350410,9000,0xf4b16,8,0xd90ce;0x257de;0x19e90;0x1ce02;0xa49b2;0xa3756;0xf4aa8;0xf4b16
1,system.guest_stack_profilers1,10,1411858620,10000,0xf42cc,7,0xd90ce;0x257de;0x19e90;0x1ce02;0x219f6;0xf413c;0xf42cc
1,system.guest_stack_profilers1,11,1413486825,11000,0xf155a,8,0xd90ce;0x257de;0x268b8;0x2b75e;0x4cf1a;0xf21a0;0xf104a;0xf155a
1,system.guest_stack_profilers1,12,1414724400,12000,0x26926,4,0xd90ce;0x257de;0x268b8;0x26926
1,system.guest_stack_profilers1,13,1415614845,13000,0xf1052,8,0xd90ce;0x257de;0x268b8;0x2bd60;0x4cf1a;0xf21a0;0xf104a;0xf1052
1,system.guest_stack_profilers1,14,1416095520,14000,0xf4b16,9,0xd90ce;0x257de;0x268b8;0x2bd60;0x34880;0x308f4;0x303a8;0x106212;0xf4b16
1,system.guest_stack_profilers1,15,1416505725,15000,0x4cf66,10,0xd90ce;0x257de;0x268b8;0x2bd60;0x34880;0x308f4;0x303a8;0x3bf5e;0x4cf66;0x4cf66
1,system.guest_stack_profilers1,16,1417042515,16000,0xf3a18,11,0xd90ce;0x257de;0x268b8;0x2bd60;0x34880;0x308f4;0x303a8;0x3bf5e;0xf3812;0xf39e4;0xf3a18
