policy,cpu,workload,measure,rank,function,samples,sample_fraction
lru,0,libquantum 0.2.4 Shor,leaf,1,quantum_gate1,7384,1.0
lru,0,libquantum 0.2.4 Shor,inclusive,1,quantum_gate1,7384,1.0
random,0,libquantum 0.2.4 Shor,leaf,1,quantum_gate1,7332,1.0
random,0,libquantum 0.2.4 Shor,inclusive,1,quantum_gate1,7332,1.0
srrip,0,libquantum 0.2.4 Shor,leaf,1,quantum_gate1,7401,1.0
srrip,0,libquantum 0.2.4 Shor,inclusive,1,quantum_gate1,7401,1.0
lru,1,OMNeT++ 3.3.2 Token Ring,leaf,1,read_encoded_value_with_base,859,0.44646569646569645
lru,1,OMNeT++ 3.3.2 Token Ring,leaf,2,fde_single_encoding_compare,290,0.15072765072765074
lru,1,OMNeT++ 3.3.2 Token Ring,leaf,3,add_fdes,211,0.10966735966735967
lru,1,OMNeT++ 3.3.2 Token Ring,leaf,4,classify_object_over_fdes,190,0.09875259875259876
lru,1,OMNeT++ 3.3.2 Token Ring,leaf,5,search_object,91,0.0472972972972973
lru,1,OMNeT++ 3.3.2 Token Ring,leaf,6,get_cie_encoding,67,0.034823284823284825
lru,1,OMNeT++ 3.3.2 Token Ring,leaf,7,strlen,47,0.02442827442827443
lru,1,OMNeT++ 3.3.2 Token Ring,leaf,8,memset,19,0.009875259875259876
lru,1,OMNeT++ 3.3.2 Token Ring,leaf,9,_int_malloc,16,0.008316008316008316
lru,1,OMNeT++ 3.3.2 Token Ring,leaf,10,memcpy,16,0.008316008316008316
lru,1,OMNeT++ 3.3.2 Token Ring,leaf,11,malloc,7,0.0036382536382536385
lru,1,OMNeT++ 3.3.2 Token Ring,leaf,12,"cIniFile::_findEntry(char const*, char const*)",7,0.0036382536382536385
lru,1,OMNeT++ 3.3.2 Token Ring,leaf,13,__vfscanf_internal,6,0.0031185031185031187
lru,1,OMNeT++ 3.3.2 Token Ring,leaf,14,strcmp,6,0.0031185031185031187
lru,1,OMNeT++ 3.3.2 Token Ring,leaf,15,_int_free,6,0.0031185031185031187
lru,1,OMNeT++ 3.3.2 Token Ring,inclusive,1,____strtoll_l_internal,1924,1.0
lru,1,OMNeT++ 3.3.2 Token Ring,inclusive,2,cModule::buildInside(),1854,0.9636174636174636
lru,1,OMNeT++ 3.3.2 Token Ring,inclusive,3,Computer::doBuildInside(),1848,0.9604989604989606
lru,1,OMNeT++ 3.3.2 Token Ring,inclusive,4,"cGate::connectTo(cGate*, cChannel*)",1751,0.91008316008316
lru,1,OMNeT++ 3.3.2 Token Ring,inclusive,5,__cxa_throw,1738,0.9033264033264033
lru,1,OMNeT++ 3.3.2 Token Ring,inclusive,6,_Unwind_RaiseException,1738,0.9033264033264033
lru,1,OMNeT++ 3.3.2 Token Ring,inclusive,7,uw_init_context_1,1738,0.9033264033264033
lru,1,OMNeT++ 3.3.2 Token Ring,inclusive,8,uw_frame_state_for,1738,0.9033264033264033
lru,1,OMNeT++ 3.3.2 Token Ring,inclusive,9,_Unwind_Find_FDE,1737,0.9028066528066528
lru,1,OMNeT++ 3.3.2 Token Ring,inclusive,10,search_object,1737,0.9028066528066528
lru,1,OMNeT++ 3.3.2 Token Ring,inclusive,11,read_encoded_value_with_base,859,0.44646569646569645
lru,1,OMNeT++ 3.3.2 Token Ring,inclusive,12,fde_single_encoding_compare,761,0.39553014553014554
lru,1,OMNeT++ 3.3.2 Token Ring,inclusive,13,classify_object_over_fdes,495,0.25727650727650725
lru,1,OMNeT++ 3.3.2 Token Ring,inclusive,14,add_fdes,390,0.20270270270270271
lru,1,OMNeT++ 3.3.2 Token Ring,inclusive,15,get_cie_encoding,120,0.062370062370062374
random,1,OMNeT++ 3.3.2 Token Ring,leaf,1,read_encoded_value_with_base,920,0.45320197044334976
random,1,OMNeT++ 3.3.2 Token Ring,leaf,2,fde_single_encoding_compare,333,0.16403940886699508
random,1,OMNeT++ 3.3.2 Token Ring,leaf,3,add_fdes,213,0.10492610837438424
random,1,OMNeT++ 3.3.2 Token Ring,leaf,4,classify_object_over_fdes,188,0.09261083743842365
random,1,OMNeT++ 3.3.2 Token Ring,leaf,5,search_object,96,0.04729064039408867
random,1,OMNeT++ 3.3.2 Token Ring,leaf,6,get_cie_encoding,66,0.03251231527093596
random,1,OMNeT++ 3.3.2 Token Ring,leaf,7,strlen,43,0.021182266009852218
random,1,OMNeT++ 3.3.2 Token Ring,leaf,8,memset,19,0.00935960591133005
random,1,OMNeT++ 3.3.2 Token Ring,leaf,9,_int_malloc,16,0.007881773399014778
random,1,OMNeT++ 3.3.2 Token Ring,leaf,10,memcpy,16,0.007881773399014778
random,1,OMNeT++ 3.3.2 Token Ring,leaf,11,malloc,7,0.0034482758620689655
random,1,OMNeT++ 3.3.2 Token Ring,leaf,12,"cIniFile::_findEntry(char const*, char const*)",7,0.0034482758620689655
random,1,OMNeT++ 3.3.2 Token Ring,leaf,13,__vfscanf_internal,6,0.002955665024630542
random,1,OMNeT++ 3.3.2 Token Ring,leaf,14,strcmp,6,0.002955665024630542
random,1,OMNeT++ 3.3.2 Token Ring,leaf,15,_int_free,6,0.002955665024630542
random,1,OMNeT++ 3.3.2 Token Ring,inclusive,1,____strtoll_l_internal,2030,1.0
random,1,OMNeT++ 3.3.2 Token Ring,inclusive,2,cModule::buildInside(),1960,0.9655172413793104
random,1,OMNeT++ 3.3.2 Token Ring,inclusive,3,Computer::doBuildInside(),1954,0.9625615763546798
random,1,OMNeT++ 3.3.2 Token Ring,inclusive,4,"cGate::connectTo(cGate*, cChannel*)",1857,0.9147783251231527
random,1,OMNeT++ 3.3.2 Token Ring,inclusive,5,__cxa_throw,1844,0.9083743842364532
random,1,OMNeT++ 3.3.2 Token Ring,inclusive,6,_Unwind_RaiseException,1844,0.9083743842364532
random,1,OMNeT++ 3.3.2 Token Ring,inclusive,7,uw_init_context_1,1844,0.9083743842364532
random,1,OMNeT++ 3.3.2 Token Ring,inclusive,8,uw_frame_state_for,1844,0.9083743842364532
random,1,OMNeT++ 3.3.2 Token Ring,inclusive,9,_Unwind_Find_FDE,1843,0.9078817733990148
random,1,OMNeT++ 3.3.2 Token Ring,inclusive,10,search_object,1843,0.9078817733990148
random,1,OMNeT++ 3.3.2 Token Ring,inclusive,11,read_encoded_value_with_base,920,0.45320197044334976
random,1,OMNeT++ 3.3.2 Token Ring,inclusive,12,fde_single_encoding_compare,862,0.4246305418719212
random,1,OMNeT++ 3.3.2 Token Ring,inclusive,13,classify_object_over_fdes,495,0.2438423645320197
random,1,OMNeT++ 3.3.2 Token Ring,inclusive,14,add_fdes,390,0.1921182266009852
random,1,OMNeT++ 3.3.2 Token Ring,inclusive,15,get_cie_encoding,121,0.05960591133004926
srrip,1,OMNeT++ 3.3.2 Token Ring,leaf,1,read_encoded_value_with_base,884,0.4582685329186107
srrip,1,OMNeT++ 3.3.2 Token Ring,leaf,2,fde_single_encoding_compare,269,0.1394504924831519
srrip,1,OMNeT++ 3.3.2 Token Ring,leaf,3,add_fdes,201,0.104199066874028
srrip,1,OMNeT++ 3.3.2 Token Ring,leaf,4,classify_object_over_fdes,192,0.09953343701399689
srrip,1,OMNeT++ 3.3.2 Token Ring,leaf,5,search_object,103,0.05339554173146708
srrip,1,OMNeT++ 3.3.2 Token Ring,leaf,6,strlen,56,0.029030585795749093
srrip,1,OMNeT++ 3.3.2 Token Ring,leaf,7,get_cie_encoding,55,0.02851218247796786
srrip,1,OMNeT++ 3.3.2 Token Ring,leaf,8,memset,17,0.008812856402280975
srrip,1,OMNeT++ 3.3.2 Token Ring,leaf,9,_int_malloc,16,0.00829445308449974
srrip,1,OMNeT++ 3.3.2 Token Ring,leaf,10,memcpy,16,0.00829445308449974
srrip,1,OMNeT++ 3.3.2 Token Ring,leaf,11,malloc,7,0.0036288232244686366
srrip,1,OMNeT++ 3.3.2 Token Ring,leaf,12,"cIniFile::_findEntry(char const*, char const*)",6,0.003110419906687403
srrip,1,OMNeT++ 3.3.2 Token Ring,leaf,13,__vfscanf_internal,5,0.002592016588906169
srrip,1,OMNeT++ 3.3.2 Token Ring,leaf,14,"__cxxabiv1::__si_class_type_info::__do_dyncast(long, __cxxabiv1::__class_type_info::__sub_kind, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info::__dyncast_result&) const",5,0.002592016588906169
srrip,1,OMNeT++ 3.3.2 Token Ring,leaf,15,__dynamic_cast,5,0.002592016588906169
srrip,1,OMNeT++ 3.3.2 Token Ring,inclusive,1,____strtoll_l_internal,1929,1.0
srrip,1,OMNeT++ 3.3.2 Token Ring,inclusive,2,cModule::buildInside(),1859,0.9637117677553136
srrip,1,OMNeT++ 3.3.2 Token Ring,inclusive,3,Computer::doBuildInside(),1853,0.9606013478486263
srrip,1,OMNeT++ 3.3.2 Token Ring,inclusive,4,"cGate::connectTo(cGate*, cChannel*)",1756,0.9103162260238465
srrip,1,OMNeT++ 3.3.2 Token Ring,inclusive,5,__cxa_throw,1743,0.9035769828926905
srrip,1,OMNeT++ 3.3.2 Token Ring,inclusive,6,_Unwind_RaiseException,1743,0.9035769828926905
srrip,1,OMNeT++ 3.3.2 Token Ring,inclusive,7,uw_init_context_1,1743,0.9035769828926905
srrip,1,OMNeT++ 3.3.2 Token Ring,inclusive,8,uw_frame_state_for,1743,0.9035769828926905
srrip,1,OMNeT++ 3.3.2 Token Ring,inclusive,9,_Unwind_Find_FDE,1742,0.9030585795749093
srrip,1,OMNeT++ 3.3.2 Token Ring,inclusive,10,search_object,1742,0.9030585795749093
srrip,1,OMNeT++ 3.3.2 Token Ring,inclusive,11,read_encoded_value_with_base,884,0.4582685329186107
srrip,1,OMNeT++ 3.3.2 Token Ring,inclusive,12,fde_single_encoding_compare,754,0.3908761016070503
srrip,1,OMNeT++ 3.3.2 Token Ring,inclusive,13,classify_object_over_fdes,495,0.25660964230171074
srrip,1,OMNeT++ 3.3.2 Token Ring,inclusive,14,add_fdes,390,0.20217729393468117
srrip,1,OMNeT++ 3.3.2 Token Ring,inclusive,15,get_cie_encoding,119,0.06168999481596682
