policy,metric,old_buffer_model,direct_pocq_model,delta,percent_change
lru,cpu0_ipc,1.376739891684973,1.6060153990038497,0.2292755073188768,16.653509403164723
lru,cpu1_ipc,0.2044744111186028,0.4240783435195859,0.2196039324009831,107.3992247732185
lru,aggregate_ipc,1.5812143028035757,2.0300937425234356,0.4488794397198599,28.38827342530188
lru,aggregate_instructions,7269949.0,9333762.0,2063813.0,28.388273425301886
lru,total_slc_victims,57925.0,74091.0,16166.0,27.90850237375917
lru,dirty_slc_victims,51839.0,65324.0,13485.0,26.01323327996296
lru,sf_victims,72416.0,88228.0,15812.0,21.834953601414053
lru,victims_per_ki,7.967731272942905,7.937956849553267,-0.02977442338963865,-0.37368759524744083
lru,stale_token_replays,146.0,171.0,25.0,17.123287671232877
lru,seq_conflict_replays,280276.0,21954.0,-258322.0,-92.16700680757539
lru,victim_buffer_full_replays,52409.0,0.0,-52409.0,-100.0
lru,total_replay_responses,332831.0,22125.0,-310706.0,-93.35248219066132
lru,replays_per_ki,45.78175170142184,2.370426843967095,-43.411324857454744,-94.82233257603056
lru,request_full_cycles,26331.0,33.0,-26298.0,-99.87467243933007
lru,response_full_cycles,0.0,0.0,0.0,0.0
lru,no_credit,25713.0,0.0,-25713.0,-100.0
lru,service_stalls,3109349.0,247898.0,-2861451.0,-92.02733433911729
lru,service_stalls_per_ki,427.69887381603365,26.55928017020361,-401.13959364583,-93.79019169883819
lru,accepted_to_visible_latency_cycles,10.21277666150283,6.953469365422954,-3.259307296079875,-31.91401715819233
lru,slc_hit_rate,0.01376039348869891,0.016211047850840977,0.0024506543621420664,17.809478807090304
lru,sf_hit_rate,0.023246281766014756,0.01449432830631492,-0.008751953459699835,-37.64883153268357
lru,noc_traffic_score,6354046.0,7078185.0,724139.0,11.39650232308674
lru,dram_reads,73082.0,88176.0,15094.0,20.65351249281629
lru,dram_writes,51331.0,64825.0,13494.0,26.288207905554152
lru,host_seconds_from_stats,550.66,531.28,-19.379999999999995,-3.519413067954817
random,cpu0_ipc,1.384636448659112,1.5945601061400265,0.20992365748091446,15.16092239838157
random,cpu1_ipc,0.22380451095112774,0.4473747743436936,0.22357026339256586,99.89533385293872
random,aggregate_ipc,1.6084409596102398,2.04193488048372,0.43349392087348027,26.951186382279474
random,aggregate_instructions,7395129.0,9388204.0,1993075.0,26.951186382279467
random,total_slc_victims,59135.0,73041.0,13906.0,23.51568445083284
random,dirty_slc_victims,52684.0,64673.0,11989.0,22.75643459114722
random,sf_victims,73755.0,88084.0,14329.0,19.427835400989764
random,victims_per_ki,7.996479845043948,7.780082324585193,-0.21639752045875493,-2.7061597684495338
random,stale_token_replays,125.0,101.0,-24.0,-19.2
random,seq_conflict_replays,262097.0,19545.0,-242552.0,-92.54283719386333
random,victim_buffer_full_replays,46053.0,0.0,-46053.0,-100.0
random,total_replay_responses,308275.0,19646.0,-288629.0,-93.62711864406779
random,replays_per_ki,41.68622345871181,2.0926260230391245,-39.593597435672685,-94.98005372179668
random,request_full_cycles,22882.0,19.0,-22863.0,-99.916965300236
random,response_full_cycles,0.0,0.0,0.0,0.0
random,no_credit,22271.0,2.0,-22269.0,-99.99101971173275
random,service_stalls,2818183.0,247732.0,-2570451.0,-91.20951336375246
random,service_stalls_per_ki,381.0863880805866,26.38758169294148,-354.6988063876451,-93.07569555925429
random,accepted_to_visible_latency_cycles,9.967778487861551,6.985183593844747,-2.9825948940168043,-29.922363319458945
random,slc_hit_rate,0.013552319152401444,0.025659293684372055,0.012106974531970611,89.33507539058567
random,sf_hit_rate,0.0198784491552302,0.013240677817480326,-0.006637771337749874,-33.39179674387937
random,noc_traffic_score,6384894.0,7028869.0,643975.0,10.08591528692567
random,dram_reads,74044.0,87090.0,13046.0,17.619253416887258
random,dram_writes,52163.0,64159.0,11996.0,22.997143569196556
random,host_seconds_from_stats,587.91,556.29,-31.620000000000005,-5.3783742409552495
srrip,cpu0_ipc,1.3814548578637145,1.6096602649150662,0.22820540705135173,16.519208409332258
srrip,cpu1_ipc,0.20544011136002785,0.4252376188094047,0.21979750744937684,106.98860412131887
srrip,aggregate_ipc,1.5868949692237424,2.034897883724471,0.4480029145007285,28.23141563804169
srrip,aggregate_instructions,7296067.0,9355850.0,2059783.0,28.231415638041703
srrip,total_slc_victims,58192.0,74362.0,16170.0,27.78732471817432
srrip,dirty_slc_victims,52232.0,65493.0,13261.0,25.38865063562567
srrip,sf_victims,72681.0,88482.0,15801.0,21.74020720683535
srrip,victims_per_ki,7.975803950265259,7.948182153412036,-0.0276217968532233,-0.3463199073781729
srrip,stale_token_replays,160.0,151.0,-9.0,-5.625
srrip,seq_conflict_replays,279698.0,20574.0,-259124.0,-92.64420911125572
srrip,victim_buffer_full_replays,51793.0,0.0,-51793.0,-100.0
srrip,total_replay_responses,331651.0,20725.0,-310926.0,-93.75096110067511
srrip,replays_per_ki,45.456134106224624,2.21519156463603,-43.240942541588595,-95.1267488795694
srrip,request_full_cycles,27147.0,3.0,-27144.0,-99.98894905514422
srrip,response_full_cycles,0.0,0.0,0.0,0.0
srrip,no_credit,25143.0,0.0,-25143.0,-100.0
srrip,service_stalls,3109896.0,246441.0,-2863455.0,-92.0755870935877
srrip,service_stalls_per_ki,426.24279629011085,26.340845567211957,-399.9019507228989,-93.82022504627064
srrip,accepted_to_visible_latency_cycles,10.218917414223336,6.96616928045862,-3.252748133764716,-31.830652914733758
srrip,slc_hit_rate,0.012900107500895841,0.016419221551041654,0.003519114050145813,27.27972654415035
srrip,sf_hit_rate,0.024325202710022583,0.014065872094914814,-0.010259330615107769,-42.175725059346256
srrip,noc_traffic_score,6372952.0,7096985.0,724033.0,11.361030178793124
srrip,dram_reads,73296.0,88378.0,15082.0,20.576839118096483
srrip,dram_writes,51684.0,64993.0,13309.0,25.75071588886309
srrip,host_seconds_from_stats,555.42,529.72,-25.699999999999932,-4.6271290194807415
