policy,policy_label,rnf,cpu,workload,transaction_channel,transaction_type,transaction_type_key,terminal_response_types,terminal_response_counts_json,accepted_count,completed_count,right_censored_count,completion_fraction,mean_latency_ticks,p50_latency_ticks,p95_latency_ticks,min_latency_ticks,max_latency_ticks,chi_clock_period_ticks,mean_latency_chi_cycles,p50_latency_chi_cycles,p95_latency_chi_cycles,min_latency_chi_cycles,max_latency_chi_cycles,sim_frequency_ticks_per_second,mean_latency_ns,p50_latency_ns,p95_latency_ns,min_latency_ns,max_latency_ns,mean_delta_vs_random_chi_cycles,mean_percent_vs_random
lru,LRU,0,0,libquantum 0.2.4 Shor,REQ,ReadShared,REQ:ReadShared,DAT:CompData,"{""DAT:CompData"":20}",20,20,0,1.0,138610.8,143448,271884,25020,323592,556,249.29999999999998,258.0,489.0,45.0,582.0,1000000000000,138.61079999999998,143.448,271.88399999999996,25.02,323.592,-12.80000000000004,-4.883632201449843
lru,LRU,0,0,libquantum 0.2.4 Shor,REQ,ReadUnique,REQ:ReadUnique,DAT:CompData,"{""DAT:CompData"":76901}",76908,76901,7,0.9999089821605035,215929.1912979025,195156,353060,122320,899608,556,388.3618548523426,351.0,635.0,220.0,1618.0,1000000000000,215.9291912979025,195.156,353.06,122.32,899.6080000000001,-2.847929037637755,-0.7279800135158878
lru,LRU,0,0,libquantum 0.2.4 Shor,REQ,WriteBackFull,REQ:WriteBackFull,RSP:CompDBIDResp,"{""RSP:CompDBIDResp"":467}",467,467,0,1.0,91322.10706638116,77840,196268,13344,444244,556,164.24839400428266,140.0,353.0,24.0,799.0,1000000000000,91.32210706638116,77.84,196.268,13.344,444.244,-7.08389439697126,-4.134593930351902
lru,LRU,0,0,libquantum 0.2.4 Shor,SNP,SnpCleanInvalid,SNP:SnpCleanInvalid,DAT:SnpRespData;RSP:SnpResp,"{""DAT:SnpRespData"":62806,""RSP:SnpResp"":13471}",76277,76277,0,1.0,671.8672732278407,701,1261,0,1303,556,1.2083943763090659,1.2607913669064748,2.2679856115107913,0.0,2.343525179856115,1000000000000,0.6718672732278407,0.701,1.2610000000000001,0.0,1.303,-0.000592328933194608,-0.04899383348271934
lru,LRU,1,1,OMNeT++ 3.3.2 Token Ring,REQ,ReadShared,REQ:ReadShared,DAT:CompData,"{""DAT:CompData"":11192}",11193,11192,1,0.9999106584472438,200642.3766976412,183480,349724,23352,811760,556,360.8675839885633,330.0,629.0,42.0,1460.0,1000000000000,200.64237669764117,183.48,349.724,23.352,811.76,10.388608553647657,2.9641174740242966
lru,LRU,1,1,OMNeT++ 3.3.2 Token Ring,REQ,ReadUnique,REQ:ReadUnique,DAT:CompData,"{""DAT:CompData"":1469}",1469,1469,0,1.0,233414.0231449966,222400,396428,23352,848456,556,419.80939414567735,400.0,713.0,42.0,1526.0,1000000000000,233.4140231449966,222.4,396.428,23.352,848.4559999999999,-1.0647780397530937,-0.2529920128441547
lru,LRU,1,1,OMNeT++ 3.3.2 Token Ring,SNP,SnpCleanInvalid,SNP:SnpCleanInvalid,DAT:SnpRespData;RSP:SnpResp,"{""DAT:SnpRespData"":1083,""RSP:SnpResp"":10861}",11944,11944,0,1.0,80.32794708640321,0,747,0,3480,556,0.14447472497554534,0.0,1.3435251798561152,0.0,6.258992805755396,1000000000000,0.08032794708640321,0.0,0.747,0.0,3.48,-0.006075700825546065,-4.035658347172885
random,Random,0,0,libquantum 0.2.4 Shor,REQ,ReadShared,REQ:ReadShared,DAT:CompData,"{""DAT:CompData"":20}",20,20,0,1.0,145727.6,81176,474268,24464,570456,556,262.1,146.0,853.0,44.0,1026.0,1000000000000,145.7276,81.176,474.26800000000003,24.464,570.456,0.0,0.0
random,Random,0,0,libquantum 0.2.4 Shor,REQ,ReadUnique,REQ:ReadUnique,DAT:CompData,"{""DAT:CompData"":76350}",76365,76350,15,0.9998035749361619,217512.63984282908,195156,354172,122876,848456,556,391.2097838899804,351.0,637.0,221.0,1526.0,1000000000000,217.5126398428291,195.156,354.172,122.87599999999999,848.4559999999999,0.0,0.0
random,Random,0,0,libquantum 0.2.4 Shor,REQ,WriteBackFull,REQ:WriteBackFull,RSP:CompDBIDResp,"{""RSP:CompDBIDResp"":319}",319,319,0,1.0,95260.75235109718,75060,225736,13344,435348,556,171.33228840125392,135.0,406.0,24.0,783.0,1000000000000,95.26075235109718,75.06,225.736,13.344,435.348,0.0,0.0
