policy,hotspot_rank,router,x,y,local_injected_flits,local_delivered_flits,internal_received_flits,internal_sent_flits,internal_output_stall_cycles,local_injection_stall_cycles,local_delivery_stall_cycles,traffic_score
lru,1,3,1,1,638427,718536,718539,638426,0,0,1740,2713928
lru,2,1,1,0,310981,220817,628375,718539,0,0,0,1878712
lru,3,0,0,0,407559,417606,417607,407558,0,0,0,1650330
lru,4,2,0,1,0,0,417608,417607,0,0,0,835215
random,1,3,1,1,633994,712355,712355,633994,0,0,1789,2692698
random,2,1,1,0,306627,217989,623721,712355,0,0,0,1860692
random,3,0,0,0,405733,416003,416003,405733,0,0,0,1643472
random,4,2,0,1,0,0,416004,416003,0,0,0,832007
srrip,1,3,1,1,640112,720400,720400,640111,0,0,1687,2721023
srrip,2,1,1,0,311695,221343,630048,720400,0,0,0,1883486
srrip,3,0,0,0,408705,418766,418766,408705,0,0,0,1654942
srrip,4,2,0,1,0,0,418768,418766,0,0,0,837534
