phaseID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,average
0,5,1133,1553,1711,1085,1412,1292,644,1161,371,791,570,355,378,287,263,196,141,115,189,262,251,26,9,0,3,14,3,0,0,0,0,0,7.03235
1,3,836,1481,1528,1038,1422,1319,505,1122,330,804,605,448,575,374,194,241,112,112,156,171,255,35,15,4,5,14,2,0,0,0,0,0,7.29607
2,0,0,1195,552,551,1654,2119,151,604,414,0,1096,1007,1460,956,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2149
3,0,0,995,464,463,1624,2245,134,514,347,0,1158,1013,1535,1043,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.41538
4,0,0,676,309,311,1580,2479,96,338,233,0,1264,904,1779,1187,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.78117
5,0,0,1012,490,489,1633,2112,193,581,367,0,1139,1039,1484,1017,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38645
6,0,2,528,221,250,1543,2047,337,265,179,4,1544,1076,1627,1232,1,171,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,9.0629
7,0,0,0,0,0,1364,3,1363,3,0,0,2727,914,1812,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4745
8,0,0,0,0,0,1364,3,1365,3,0,0,2729,972,1758,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4657
9,0,0,0,0,0,1363,2,1363,2,0,0,2727,908,1818,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4767
10,0,117,2,1,476,1437,226,1090,19,108,0,2403,1127,1821,974,227,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.97108
11,0,388,0,0,1651,1592,812,407,43,388,0,1590,1750,1775,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93575
12,0,383,1,0,1660,1591,824,411,41,383,0,1590,1750,1772,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92777
13,0,393,1,0,1644,1591,806,402,43,392,0,1590,1764,1766,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93895
14,0,370,1,0,1676,1589,848,423,34,371,0,1588,1744,1768,0,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92379
15,0,0,1,0,2344,1564,1562,780,0,0,0,1562,1563,1562,0,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53242
16,0,625,1,0,1163,1610,358,178,1,625,0,1609,2023,1818,0,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.24642
17,0,534,0,0,1336,1601,534,267,1,534,0,1601,1957,1778,0,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.13743
18,0,378,1,0,1641,1590,832,415,15,378,0,1589,1763,1780,0,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94775
