phaseID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,average
0,0,1005,1340,1443,990,1251,1162,571,1140,307,828,634,349,474,358,380,302,289,181,268,339,354,80,56,40,23,41,9,2,3,1,0,0,7.03235
1,0,788,1392,1380,1033,1354,1121,619,1121,293,793,699,316,724,418,242,307,167,131,181,201,295,55,26,8,12,22,6,1,1,0,0,0,7.29607
2,0,0,1195,552,551,1654,1103,1087,683,414,0,1096,275,2192,957,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2149
3,0,0,995,464,463,1624,1174,1156,563,347,0,1158,232,2316,1043,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.41538
4,0,0,676,309,311,1580,1289,1260,364,233,0,1264,155,2528,1187,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.78117
5,0,0,1012,490,489,1633,1109,1135,642,367,0,1139,245,2278,1017,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38645
6,0,2,526,221,247,1542,1065,1304,277,179,2,1546,119,2584,1232,2,170,3,1,4,2,0,3,1,2,0,0,0,0,0,0,0,0,9.0629
7,0,0,0,0,0,1364,3,1363,0,0,0,2727,0,2726,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4745
8,0,0,0,0,0,1364,3,1365,0,0,0,2729,0,2730,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4657
9,0,0,0,0,0,1363,2,1363,0,0,0,2727,0,2726,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4767
10,0,111,0,0,465,1434,228,1091,18,110,0,2403,102,2855,977,227,0,1,1,0,3,1,1,0,1,0,0,0,0,0,0,0,0,9.97108
11,0,388,0,0,1610,1591,812,407,43,389,0,1590,386,3180,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93575
12,0,383,0,0,1623,1591,824,412,41,383,0,1590,379,3180,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92777
13,0,393,0,0,1601,1591,806,403,43,392,0,1590,393,3180,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93895
14,0,370,0,0,1646,1589,848,424,34,371,0,1588,366,3176,0,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92379
15,0,0,0,0,2344,1564,1562,781,0,0,0,1562,0,3125,0,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53242
16,0,625,0,0,1163,1610,358,179,1,625,0,1609,624,3217,0,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.24642
17,0,534,0,0,1335,1601,534,267,1,534,0,1601,534,3202,0,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.13743
18,0,378,0,0,1628,1590,832,416,15,378,0,1589,376,3180,0,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94775
