Hist,count
37777,271
336bf,210
314ff,165
2db6d,114
36bf7,110
15555,110
14ff7,82
3ffff,76
3f777,73
2bf77,65
ff77,59
1b6d5,36
3fffb,29
3ffbf,28
37ffd,27
3fdff,26
3ffef,24
36d55,24
15557,23
22221,22
3f7ff,22
15b6d,22
3ffdf,20
1ddc5,20
33fff,19
2d555,19
9249,19
3ff7f,18
3fff7,18
3ffe7,15
3dfff,15
e38e,14
2fbd7,14
2ab6d,14
1b7ff,13
3feff,13
39faf,13
3fbff,12
3fbfb,12
1555f,12
3ffcf,12
1ffff,12
2aaff,12
1557f,11
1ffdf,11
1556d,11
3fbd7,11
27555,10
3f7fb,10
3ffdb,10
1ffd,10
6231,9
2aaab,9
2aaaf,9
1b56d,9
2ff9f,9
1ddff,9
37fff,8
2b6d5,8
3bdff,8
17dfe,8
2aabf,8
3ff6c,8
3eff7,8
11111,8
bfef,8
eeff,8
e862,8
3ffda,8
e7eb,8
3ffbe,8
3ebd0,8
238e3,8
33555,7
3b3b7,7
3bfff,7
3edff,7
296bf,7
3fffe,7
3ffdd,7
19555,7
3fef7,7
3fef5,7
3fedf,7
1bfff,7
1fffb,7
1fff,7
25555,7
aaaf,7
27ebf,7
11110,6
23bff,6
3bffb,6
129ff,6
6195,6
1077d,6
39555,6
156d5,6
168f9,6
27a4c,6
26aab,6
2dff7,6
1a087,6
3676f,6
92ff,6
2555f,6
f067,6
32aab,6
25557,6
852f,6
3ff7b,6
3ddc5,6
3f7f7,6
3ff9f,6
3ffe,6
3e7f7,6
3fdaf,6
3efff,6
3fef3,6
3effe,6
3c077,6
3eebe,6
3f72f,5
fcde,5
2767f,5
155f7,5
27ebd,5
37f5,5
c4a7,5
3fe7e,5
3f7af,5
33c33,5
2eeed,5
fffd,5
3eeb1,5
bcaf,5
303ff,5
1bffe,5
1dddb,5
2f7fe,5
3037e,5
17d4f,5
3f3ff,5
2aaf3,5
3f3bb,5
3fefe,5
2abcd,5
3bac5,5
3ad1f,5
ec9f,5
21861,5
124cf,5
1fffd,5
37ff7,5
39ff3,5
3ffde,5
3fffd,5
3ffed,5
3fff3,5
37776,5
1ffb5,5
3ffb5,5
1ff3f,4
2037f,4
1b7fd,4
1e07,4
3fdeb,4
3fdfb,4
1ff7f,4
2bcd1,4
2bd07,4
1bf7,4
1b2f7,4
238e5,4
3fe5f,4
3f9ff,4
92fe,4
3fbf7,4
253ff,4
253fe,4
1f7af,4
2100,4
2aaba,4
28f97,4
1f8fb,4
230c3,4
29555,4
dfff,4
1fef,4
1f9dd,4
3f607,4
1a3e5,4
14f0e,4
7fbf,4
dfd,4
341df,4
35555,4
6253,4
356d5,4
77ff,4
406f,4
3e777,4
4442,4
655f,4
36ffb,4
36fff,4
3783f,4
37fbf,4
1554f,4
37fe7,4
37ffb,4
2fbff,4
444e,4
3bfdd,4
11555,4
2dfff,4
94ff,4
19aab,4
3fefd,4
7ffd,4
2ff7f,4
18655,4
2fffd,4
12493,4
3fff9,4
2fffb,4
3ff3f,4
1ff7b,3
1feff,3
12aaf,3
3ffba,3
3fdfe,3
154f0,3
153c3,3
1fbc1,3
1f9bd,3
11dbe,3
125fd,3
1feeb,3
157fe,3
1a3e7,3
1ab6d,3
19dbf,3
3fed4,3
1,3
1b6db,3
17fbf,3
17f7f,3
3fe7f,3
3ff97,3
1f7ff,3
155fc,3
3fe7b,3
15579,3
1dffd,3
1e07f,3
1f5e3,3
15559,3
1f5ff,3
3ffce,3
31113,3
36f81,3
3e355,3
35ffb,3
35a7d,3
35a3e,3
3556d,3
3e72f,3
3e7ff,3
3dbfe,3
30ec9,3
303c0,3
2ffff,3
3ebc7,3
2fff7,3
2ffef,3
3ebff,3
2ff7d,3
3a555,3
3c1fb,3
3bbb7,3
3b7fd,3
3b643,3
3b5a3,3
3cacd,3
3affd,3
3afd0,3
2faff,3
39fff,3
3cd02,3
3d333,3
3d7a3,3
3d9db,3
3dabe,3
37fcf,3
37dff,3
21957,3
264cf,3
25f53,3
3f862,3
24cf0,3
24bfb,3
23955,3
3fcff,3
22711,3
3f7f0,3
3fd81,3
20f70,3
207ff,3
3fdd0,3
2040f,3
1fff9,3
1ffef,3
3fdfd,3
2bfef,3
3ef07,3
2dffe,3
3ef5e,3
3efbe,3
3efdf,3
2d1f3,3
2cecf,3
2c9ff,3
1ffca,3
3efef,3
3f3f7,3
2aadf,3
3f407,3
2a783,3
27fff,3
3f7be,3
27867,3
f063,3
77fe,3
e0f,3
7862,3
6fdf,3
6f2a,3
fc7d,3
6755,3
32af,3
8403,3
8618,3
38c3,3
8886,3
6186,3
f498,3
f1f3,3
1110a,3
f03f,3
f027,3
3be9,3
efa7,3
9267,3
e14b,3
4edf,3
9555,3
9c47,3
9dbe,3
a186,3
cd55,3
b111,3
aaad,3
3f,3
1f,3
7fb,3
10807,3
2f2bf,2
3b5ff,2
2101b,2
2100f,2
2eff1,2
20fbf,2
3ea7f,2
2efff,2
3c5f,2
20ec4,2
1ffe7,2
3eb47,2
e5e5,2
1fff7,2
2070f,2
2f2ff,2
3b3ff,2
ec4d,2
55fb,2
2f41f,2
20383,2
3afff,2
3ed68,2
2016b,2
3ed7e,2
3ed7f,2
97fa,2
3bbbb,2
23e5f,2
23b7d,2
2395f,2
db7f,2
dbfe,2
2dbff,2
3e3ed,2
3e3f2,2
dfbe,2
3e4fc,2
4e23,2
3ba3b,2
1ff55,2
1136d,2
22276,2
22227,2
2e5ed,2
3fff,2
3ffb,2
2214b,2
3e781,2
3b7c0,2
2ebe3,2
21955,2
113b7,2
2ffb5,2
3f27e,2
1f5be,2
3f2bd,2
39ffc,2
3f3c0,2
64a7,2
39fdf,2
2feff,2
2ff3f,2
3f3fb,2
889d,2
39fad,2
2ff99,2
3f1f9,2
3f5d0,2
38e3,2
3f63f,2
3f6bf,2
1e3e7,2
375f1,2
3f740,2
3838,2
39e7e,2
1e0fd,2
39e33,2
1e0c6,2
3f7ad,2
2fc31,2
3e1f9,2
1ff3d,2
1ff2f,2
f01f,2
3ef7d,2
3ef82,2
2fb3b,2
3a551,2
1fdff,2
2fbef,2
2fbf0,2
2fbfc,2
1fd55,2
3ef5a,2
11d71,2
1faef,2
2fd01,2
1fa07,2
2fdc5,2
1f9e3,2
36fe0,2
1f95f,2
1f8f0,2
3a186,2
1f7df,2
ff,2
3bff9,2
3cf03,2
44db,2
29f6c,2
3bffe,2
297fd,2
3cfef,2
297bf,2
3cff9,2
3cfff,2
2aff0,2
44ed,2
3d070,2
3d0e1,2
3ceff,2
28f9f,2
2b4fb,2
3bfef,2
4443,2
2877d,2
2871f,2
28657,2
28625,2
3d68f,2
28403,2
3d743,2
2ba1f,2
2bbdd,2
2ad55,2
2abeb,2
aaf7,2
2aafe,2
2abef,2
2aafa,2
abff,2
2abf9,2
3c289,2
3c780,2
3c7cf,2
2aacf,2
af31,2
3c9f8,2
2bc48,2
2aaae,2
2aaad,2
3caaf,2
2aaaa,2
3cbeb,2
3c07f,2
2ae86,2
2a787,2
110a5,2
44d6,2
3ceef,2
2a0de,2
d556,2
3deff,2
25fff,2
3bd7f,2
2c7f0,2
25ed7,2
25e95,2
3df67,2
2cdfe,2
2cedf,2
3fffc,2
d043,2
2d249,2
d555,2
2bffd,2
3dffd,2
1113b,2
3bc1f,2
24bff,2
3e0e3,2
2499e,2
2497f,2
2d77f,2
23fff,2
23ffd,2
23ff8,2
840,2
3dbe5,2
bfff,2
4436,2
3d9d9,2
27f7f,2
27f77,2
c633,2
27e3e,2
3bfb7,2
3dad1,2
3dafc,2
3bf80,2
3db21,2
2beff,2
23ed7,2
4286,2
cabf,2
3bedb,2
2bf72,2
caf3,2
a7fc,2
273f5,2
2711d,2
3bebf,2
3,2
26786,2
26783,2
347cb,2
31f95,2
3fbcd,2
31fb8,2
feee,2
34ccd,2
383f2,2
19d9f,2
