phaseID,numBranches,numEverTakenBranches,totalMispredicts,topMispPC_0,type_0,misCnt_0,topMispPC_1,type_1,misCnt_1,topMispPC_2,type_2,misCnt_2,topMispPC_3,type_3,misCnt_3,topMispPC_4,type_4,misCnt_4
0,1512,1058,1803,f3802,0,142,f3a26,0,103,f3800,0,91,f4b1e,0,88,f22be,0,41
1,1622,1123,1059,f3a26,0,71,f3802,0,70,f4b1e,0,69,c8da8,0,34,f22be,0,31
2,51,28,309,c8da8,0,301,f39fa,0,7,c8e34,0,1,c8e2c,0,0,c8a30,0,0
3,51,28,233,c8da8,0,230,f39fa,0,3,c8e34,0,0,c8db4,0,0,c8dbc,0,0
4,51,28,159,c8da8,0,154,f39fa,0,5,c8e34,0,0,c8db4,0,0,c8dbc,0,0
5,51,28,218,c8da8,0,214,f39fa,0,4,c8e34,0,0,c8db4,0,0,c8dbc,0,0
6,113,60,134,c8da8,0,109,f39fa,0,4,c90b6,0,3,f1182,0,2,f39f4,0,2
7,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
8,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
9,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
10,41,23,42,c8f30,0,27,c9c34,0,7,c9c24,0,3,c916a,0,1,c9c32,5,1
11,23,14,85,c8f30,0,84,c9c24,0,1,c8f18,2,0,c9c40,1,0,c9c34,0,0
12,23,13,78,c8f30,0,78,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
13,23,13,86,c8f30,0,86,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
14,23,13,64,c8f30,0,64,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
15,22,12,0,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0,c9c12,1,0
16,23,13,1,c8f30,0,1,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
17,23,13,2,c8f30,0,2,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
18,23,13,28,c8f30,0,28,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
