phaseID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,average
0,0,988,1334,1442,1001,1241,1157,562,1170,304,828,648,338,462,360,379,300,284,188,276,331,351,80,55,40,24,42,9,2,3,1,0,0,7.04225
1,0,791,1392,1391,1025,1373,1120,614,1129,297,799,692,310,724,411,245,297,164,131,183,199,303,57,26,8,12,23,6,1,1,0,0,0,7.28651
2,0,0,1197,552,550,1651,1105,1090,680,414,0,1096,275,2192,957,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2149
3,0,0,1000,464,463,1626,1181,1154,557,347,0,1158,232,2316,1043,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.41114
4,0,0,672,309,311,1578,1291,1265,361,233,0,1265,155,2530,1187,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7804
5,0,0,1001,490,489,1629,1100,1138,651,367,0,1138,245,2276,1017,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.39701
6,0,2,529,222,247,1539,1062,1302,281,179,2,1540,119,2578,1229,2,170,3,1,4,2,0,3,1,2,0,0,0,0,0,0,0,0,9.07523
7,0,0,0,0,0,1364,3,1364,0,0,0,2727,0,2728,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4712
8,0,0,0,0,0,1363,3,1363,0,0,0,2727,0,2726,1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4767
9,0,0,0,0,0,1365,2,1365,0,0,0,2729,1,2730,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4635
10,0,106,0,0,462,1432,231,1093,17,109,0,2405,102,2853,980,226,0,1,1,0,3,1,1,0,1,0,0,0,0,0,0,0,0,9.97606
11,0,389,0,0,1609,1590,812,407,41,389,0,1589,388,3178,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93895
12,0,383,0,0,1624,1590,824,412,42,382,0,1590,377,3180,0,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93017
13,0,393,0,0,1600,1591,804,402,43,394,0,1590,392,3180,0,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94055
14,0,371,0,1,1643,1590,846,423,33,371,0,1588,369,3177,0,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92379
15,0,0,0,0,2343,1564,1562,781,0,0,0,1563,0,3127,0,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5317
16,0,624,0,0,1167,1609,362,181,1,623,0,1609,623,3216,0,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.243
17,0,533,0,0,1335,1602,534,267,1,534,0,1601,533,3202,0,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.13826
18,0,380,0,0,1626,1590,830,415,14,380,0,1589,379,3179,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94694
19,0,430,0,2,1529,1594,732,366,1,430,0,1594,429,3187,0,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.01713
