phaseID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,average
0,6,1126,1547,1714,1094,1410,1303,635,1163,372,797,577,348,374,288,263,189,139,115,193,263,251,26,9,0,3,14,3,0,0,0,0,0,7.03136
1,3,836,1481,1537,1029,1419,1340,489,1136,325,814,587,448,580,378,203,230,113,112,150,173,255,36,14,4,5,14,2,0,0,0,0,0,7.29235
2,0,0,1195,552,551,1650,2128,150,599,414,0,1096,993,1474,956,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21558
3,0,0,989,463,463,1627,2239,130,521,347,0,1157,954,1592,1043,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42247
4,0,0,684,310,311,1580,2502,79,332,233,0,1265,894,1791,1185,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.77347
5,0,0,1002,490,489,1631,2168,132,589,366,0,1139,987,1536,1018,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.39349
6,0,2,539,222,250,1549,2033,351,261,180,4,1542,1106,1595,1232,1,172,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,9.05305
7,0,0,1,0,0,1365,3,1365,3,0,0,2732,1041,1692,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.457
8,0,0,0,1,0,1364,3,1364,4,0,0,2727,967,1761,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.469
9,0,0,0,0,0,1365,2,1365,2,0,0,2730,1008,1722,1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4635
10,0,118,2,2,477,1438,227,1087,18,111,0,2400,1215,1739,972,230,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.96314
11,0,389,0,0,1650,1591,812,407,43,388,0,1590,1751,1775,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93575
12,0,383,1,1,1659,1591,824,411,41,382,0,1590,1737,1784,0,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93017
13,0,391,1,0,1648,1591,810,403,44,391,0,1590,1753,1774,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93575
14,0,371,1,1,1674,1589,848,424,32,370,0,1588,1726,1788,0,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92379
15,0,1,1,1,2340,1562,1560,779,0,0,0,1560,1400,1720,0,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.54336
16,0,626,1,0,1160,1608,356,177,1,626,0,1608,2023,1818,0,803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25326
17,0,533,0,0,1336,1602,534,267,1,533,0,1602,1956,1780,0,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.13659
18,0,378,1,0,1646,1590,834,416,17,378,0,1588,1760,1778,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94374
