phaseID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,average
0,0,993,1342,1440,997,1250,1160,561,1152,312,832,650,344,457,355,387,302,288,183,273,341,346,80,55,41,23,43,9,2,3,1,0,0,7.03136
1,0,789,1395,1394,1026,1365,1127,609,1131,292,789,685,316,716,414,254,297,167,131,178,200,306,56,25,7,12,23,6,2,1,0,0,0,7.29235
2,0,0,1195,552,551,1650,1102,1091,683,414,0,1096,275,2192,957,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21558
3,0,0,989,463,463,1627,1173,1153,564,347,0,1157,232,2314,1043,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42247
4,0,0,684,310,311,1580,1301,1260,351,233,0,1265,155,2530,1186,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.77347
5,0,0,1002,490,489,1631,1099,1138,652,366,0,1139,245,2278,1018,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.39349
6,0,2,537,222,247,1547,1061,1299,283,180,2,1544,119,2582,1232,2,171,3,1,4,2,0,3,1,2,0,0,0,0,0,0,0,0,9.05305
7,0,0,0,0,0,1365,3,1365,0,0,0,2732,1,2732,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.457
8,0,0,0,1,0,1364,3,1364,0,0,0,2728,0,2728,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.469
9,0,0,0,0,0,1365,2,1365,0,0,0,2730,0,2730,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4635
10,0,113,0,1,465,1435,228,1088,16,113,0,2401,107,2857,975,230,0,1,1,0,3,1,1,0,1,0,0,0,0,0,0,0,0,9.96314
11,0,388,0,0,1610,1590,813,407,43,389,0,1590,386,3180,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93575
12,0,382,0,1,1623,1591,824,412,41,382,0,1590,378,3180,0,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93017
13,0,391,0,0,1605,1591,810,404,44,391,0,1590,390,3180,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93575
14,0,370,0,1,1645,1589,848,425,32,370,0,1588,368,3176,0,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92379
15,0,0,0,1,2341,1562,1560,780,0,0,0,1560,0,3120,0,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.54336
16,0,626,0,0,1160,1608,356,178,1,626,0,1608,625,3216,0,803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25326
17,0,533,0,0,1335,1602,534,267,1,533,0,1602,533,3204,0,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.13659
18,0,378,0,0,1633,1590,834,417,17,378,0,1588,374,3177,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94374
