subPhaseID,numBranches,numEverTakenBranches,totalMispredicts,topMispPC_0,type_0,misCnt_0,topMispPC_1,type_1,misCnt_1,topMispPC_2,type_2,misCnt_2,topMispPC_3,type_3,misCnt_3,topMispPC_4,type_4,misCnt_4
0,558,377,315,f3a26,0,18,f4b1e,0,14,f3802,0,10,f3800,0,9,f173e,0,7
1,381,262,172,f3a26,0,25,f3800,0,13,f3802,0,12,f4b1e,0,9,1b0a0,0,6
2,516,322,258,f3802,0,23,f3a26,0,14,f4b1e,0,10,f3a4a,0,9,f495c,0,7
3,572,361,209,f3802,0,25,3f6ea,0,8,dcb3c,0,7,f4b1e,0,7,32840,0,7
4,662,430,200,f3802,0,20,f3a26,0,16,f4b1e,0,9,f3800,0,7,3f6ea,0,6
5,671,459,143,f22be,0,11,37adc,0,11,f4b1e,0,6,f3a26,0,6,44046,0,5
6,543,363,166,f3802,0,17,f3800,0,16,f4b1e,0,11,2b712,0,10,f3a26,0,8
7,346,237,149,f3802,0,24,f3800,0,21,f22be,0,7,f37be,0,7,f3788,0,5
8,410,270,108,f4b1e,0,10,f3802,0,8,f22be,0,6,f3a26,0,6,f4b50,3,6
9,421,287,101,f3802,0,13,f3a26,0,11,f4b1e,0,10,f3800,0,7,f3a3e,0,6
10,654,451,151,f3802,0,19,f3a26,0,17,f4b1e,0,9,f22be,0,6,f3800,0,4
11,392,251,73,f3a26,0,17,f3802,0,6,28ae2,0,5,f4abc,0,5,f3a3e,0,5
12,478,327,84,f3802,0,14,f3a26,0,10,f3a4a,0,5,f3800,0,5,1b0a0,0,4
13,592,373,88,f3802,0,7,d90c8,0,6,f4b1e,0,6,f3a4a,0,5,3f6ea,0,5
14,621,395,132,f3a26,0,10,f3802,0,9,f4b1e,0,9,e3b8e,0,5,f3a32,0,5
15,593,407,106,3f6ea,0,6,f3a26,0,5,f3802,0,4,f22be,0,3,f39fa,0,3
16,453,295,76,f4b1e,0,6,f22be,0,5,f3a26,0,4,f3802,0,4,f4b0e,0,4
17,499,341,156,f4b1e,0,14,f3a26,0,9,ebd14,0,6,f4abc,0,5,f3a4a,0,5
18,432,286,151,f3a26,0,22,f39e8,0,8,f39fa,0,7,c8da8,0,6,f4b1e,0,6
19,51,28,42,c8da8,0,34,f39fa,0,7,c8e34,0,1,c8e2c,0,0,c8a30,0,0
20,51,28,25,c8da8,0,25,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
21,51,28,22,c8da8,0,21,f39fa,0,1,c8e34,0,0,c8db4,0,0,c8dbc,0,0
22,51,28,39,c8da8,0,37,c8e34,0,1,f39fa,0,1,c8e2c,0,0,c8a30,0,0
23,51,28,29,c8da8,0,28,f39fa,0,1,c8e34,0,0,c8db4,0,0,c8dbc,0,0
24,51,28,33,c8da8,0,33,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
25,51,28,32,c8da8,0,32,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
26,51,28,42,c8da8,0,42,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
27,51,28,36,c8da8,0,36,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
28,51,28,33,c8da8,0,33,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
29,51,28,23,c8da8,0,23,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
30,51,28,31,c8da8,0,31,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
31,51,28,34,c8da8,0,32,f39fa,0,2,c8e34,0,0,c8db4,0,0,c8dbc,0,0
32,51,28,30,c8da8,0,29,f39fa,0,1,c8e34,0,0,c8db4,0,0,c8dbc,0,0
33,51,28,17,c8da8,0,16,f39fa,0,1,c8e34,0,0,c8db4,0,0,c8dbc,0,0
34,51,28,12,c8da8,0,11,f39fa,0,1,c8e34,0,0,c8db4,0,0,c8dbc,0,0
35,51,28,31,c8da8,0,31,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
36,51,28,20,c8da8,0,20,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
37,51,28,14,c8da8,0,14,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
38,51,28,9,c8da8,0,9,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
39,51,28,25,c8da8,0,24,f39fa,0,1,c8e34,0,0,c8db4,0,0,c8dbc,0,0
40,51,28,3,c8da8,0,3,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
41,51,28,6,c8da8,0,6,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
42,51,28,10,c8da8,0,10,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
43,51,28,25,c8da8,0,23,f39fa,0,2,c8e34,0,0,c8db4,0,0,c8dbc,0,0
44,51,28,20,c8da8,0,20,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
45,51,28,21,c8da8,0,21,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
46,51,28,18,c8da8,0,17,f39fa,0,1,c8e34,0,0,c8db4,0,0,c8dbc,0,0
47,51,28,21,c8da8,0,20,f39fa,0,1,c8e34,0,0,c8db4,0,0,c8dbc,0,0
48,51,28,18,c8da8,0,17,f39fa,0,1,c8e34,0,0,c8db4,0,0,c8dbc,0,0
49,51,28,16,c8da8,0,16,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
50,51,28,34,c8da8,0,33,f39fa,0,1,c8e34,0,0,c8db4,0,0,c8dbc,0,0
51,51,28,16,c8da8,0,16,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
52,51,28,11,c8da8,0,11,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
53,51,28,22,c8da8,0,22,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
54,51,28,27,c8da8,0,27,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
55,51,28,31,c8da8,0,31,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
56,51,28,22,c8da8,0,22,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
57,51,28,32,c8da8,0,31,f39fa,0,1,c8e34,0,0,c8db4,0,0,c8dbc,0,0
58,51,28,8,c8da8,0,8,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
59,51,28,7,c8da8,0,7,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
60,51,28,14,c8da8,0,14,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
61,51,28,22,c8da8,0,22,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
62,51,28,17,c8da8,0,16,f39fa,0,1,c8e34,0,0,c8db4,0,0,c8dbc,0,0
63,51,28,6,c8da8,0,6,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
64,51,28,21,c8da8,0,21,c8e34,0,0,c8db4,0,0,c8dbc,0,0,c8dc8,0,0
65,51,29,20,c8da8,0,18,c8d9a,0,1,f39fa,0,1,c8e34,0,0,c8db4,0,0
66,47,25,24,c8da8,0,12,f39fa,0,8,f39f4,0,2,c8ce8,0,2,c8e1a,0,0
67,47,25,13,c8da8,0,12,f39fa,0,1,c8e1a,0,0,c8d9a,0,0,c8dae,2,0
68,109,56,20,c90b6,0,3,c8da8,0,2,f118a,0,2,f1182,0,2,f21d6,0,2
69,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
70,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
