policy,workload,hnf,lookup_operations
lru,libquantum,0,5556.0
lru,libquantum,1,5558.0
lru,libquantum,2,5557.0
lru,libquantum,3,5558.0
lru,libquantum,4,5558.0
lru,libquantum,5,5553.0
lru,libquantum,6,5560.0
lru,libquantum,7,5561.0
lru,libquantum,8,5561.0
lru,libquantum,9,5558.0
lru,libquantum,10,5560.0
lru,libquantum,11,5566.0
lru,libquantum,12,5568.0
lru,libquantum,13,5565.0
lru,libquantum,14,5565.0
lru,libquantum,15,5564.0
lru,omnetpp,0,587.0
lru,omnetpp,1,583.0
lru,omnetpp,2,577.0
lru,omnetpp,3,573.0
lru,omnetpp,4,584.0
lru,omnetpp,5,582.0
lru,omnetpp,6,574.0
lru,omnetpp,7,582.0
lru,omnetpp,8,601.0
lru,omnetpp,9,605.0
lru,omnetpp,10,604.0
lru,omnetpp,11,597.0
lru,omnetpp,12,592.0
lru,omnetpp,13,612.0
lru,omnetpp,14,596.0
lru,omnetpp,15,603.0
pseudo_random,libquantum,0,5556.0
pseudo_random,libquantum,1,5558.0
pseudo_random,libquantum,2,5557.0
pseudo_random,libquantum,3,5558.0
pseudo_random,libquantum,4,5558.0
pseudo_random,libquantum,5,5553.0
pseudo_random,libquantum,6,5560.0
pseudo_random,libquantum,7,5561.0
pseudo_random,libquantum,8,5561.0
pseudo_random,libquantum,9,5558.0
pseudo_random,libquantum,10,5560.0
pseudo_random,libquantum,11,5566.0
pseudo_random,libquantum,12,5568.0
pseudo_random,libquantum,13,5565.0
pseudo_random,libquantum,14,5565.0
pseudo_random,libquantum,15,5564.0
pseudo_random,omnetpp,0,587.0
pseudo_random,omnetpp,1,583.0
pseudo_random,omnetpp,2,577.0
pseudo_random,omnetpp,3,573.0
pseudo_random,omnetpp,4,584.0
pseudo_random,omnetpp,5,582.0
pseudo_random,omnetpp,6,574.0
pseudo_random,omnetpp,7,582.0
pseudo_random,omnetpp,8,601.0
pseudo_random,omnetpp,9,605.0
pseudo_random,omnetpp,10,604.0
pseudo_random,omnetpp,11,597.0
pseudo_random,omnetpp,12,592.0
pseudo_random,omnetpp,13,612.0
pseudo_random,omnetpp,14,596.0
pseudo_random,omnetpp,15,603.0
