phaseID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,average
0,5,529,2484,1309,2572,854,1008,999,306,389,242,270,317,132,153,215,446,178,337,309,317,159,1,186,183,10,0,1,0,0,0,0,0,7.18856
1,0,428,1775,1159,1384,1676,535,827,929,323,671,917,207,506,241,558,260,22,26,264,247,284,26,3,3,1,0,0,0,0,0,0,0,7.53466
2,14,1220,2121,997,1262,1300,919,723,1302,455,602,529,208,649,288,220,260,101,43,231,348,163,81,2,3,14,9,2,29,1,0,0,0,7.09421
3,0,471,1363,804,1016,2247,1076,234,664,50,1169,693,461,469,43,49,347,165,296,151,20,21,16,5,289,307,15,1,0,1,1,0,0,8.036
4,0,346,1693,344,350,2999,344,7,346,7,1303,685,341,341,376,2,340,1,961,0,5,3,0,0,339,339,0,0,1,0,0,0,0,8.71612
5,0,3,245,4,0,7,10,11,0,2,626,1,4,2755,2617,1361,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,13.0685
6,0,0,0,6,0,6,6,6,0,0,6,0,6,3548,2370,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6687
7,0,0,0,5,0,5,6,6,0,0,6,0,5,3661,2267,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6556
8,0,474,945,480,480,3210,487,21,464,6,922,921,463,482,112,11,467,5,456,5,8,4,3,0,456,454,0,0,0,1,0,0,0,8.82068
9,0,239,2148,497,329,1844,280,52,250,32,1676,379,833,212,1033,239,174,30,798,27,5,11,5,8,173,176,0,0,1,0,0,0,0,8.73286
10,3,928,1594,1473,1254,1468,1278,637,983,420,853,671,293,382,216,258,236,222,67,244,218,221,29,6,2,14,12,4,0,0,1,0,0,7.1495
11,5,1038,1361,1437,1106,1679,892,643,940,485,652,833,326,407,266,344,277,169,63,218,240,272,11,0,0,0,5,6,0,0,0,0,0,7.31261
12,8,1076,1404,1449,1101,1630,964,645,1008,486,642,831,308,411,254,351,262,173,66,222,235,251,11,0,0,0,6,5,0,0,0,0,0,7.2469
13,8,1025,1395,1430,1088,1706,914,634,967,476,674,796,323,427,256,357,258,173,65,222,240,258,11,0,0,0,6,6,0,0,0,0,0,7.29129
14,8,1077,1385,1446,1076,1633,966,640,1003,481,657,823,305,429,255,357,255,169,71,213,235,259,11,0,0,0,5,5,0,0,0,0,0,7.26533
15,4,1021,1401,1406,1096,1706,913,642,967,481,660,811,309,434,256,361,258,173,66,220,241,253,11,0,0,0,6,6,0,0,0,0,0,7.2982
16,8,1072,1384,1442,1071,1664,971,634,997,485,659,814,316,429,254,357,253,169,70,210,233,259,11,0,0,0,5,6,0,0,0,0,0,7.26058
17,8,1030,1398,1400,1088,1679,923,643,980,487,654,814,312,433,256,355,259,178,64,222,243,250,11,0,0,0,6,5,0,0,0,0,0,7.30034
18,8,1066,1389,1444,1075,1687,951,628,996,475,657,817,306,433,259,352,262,165,72,211,233,261,11,0,0,0,5,6,0,0,0,0,0,7.26269
19,9,1041,1396,1405,1081,1658,960,641,996,489,655,813,315,425,258,353,256,182,66,221,237,247,11,0,0,0,6,5,0,0,0,0,0,7.28544
20,11,1066,1385,1446,1085,1681,915,621,982,472,656,818,307,437,257,356,267,162,74,214,238,262,12,0,0,0,5,6,0,0,0,0,0,7.28067
