subPhaseID,numBranches,numEverTakenBranches,totalMispredicts,topMispPC_0,type_0,misCnt_0,topMispPC_1,type_1,misCnt_1,topMispPC_2,type_2,misCnt_2,topMispPC_3,type_3,misCnt_3,topMispPC_4,type_4,misCnt_4
0,524,362,316,5399e,0,26,f4914,0,10,539c2,0,9,f493a,0,8,f3726,0,8
1,75,47,19,4f8b4,0,7,5106e,0,4,638da,0,2,638b8,0,2,c03fc,0,1
2,19,13,6,cc6de,0,1,108a92,0,1,f7c54,0,1,f7b86,0,1,f7bfa,3,1
3,130,99,183,f39f4,0,32,f453a,0,16,f39e8,0,13,f3a3e,0,12,f3a2c,0,10
4,243,181,85,4f8b4,0,16,519da,0,4,54296,0,4,54278,0,4,54048,0,4
5,203,138,20,4bf72,5,7,83ffa,0,5,d8e0e,0,2,ca618,5,2,4d7ce,0,2
6,350,270,74,ca618,5,19,d8e32,0,5,f3a26,0,3,f1182,0,3,f495c,0,3
7,278,219,42,ca618,5,23,f493a,0,5,d8e32,0,2,f118a,0,2,43f4c,0,1
8,454,307,119,f3a26,0,12,ca618,5,10,f4b1e,0,6,e687c,0,3,f21d6,0,3
9,217,159,102,f4b1e,0,14,44a2e,5,13,f3a26,0,10,f3a44,0,9,303cc,0,7
10,216,157,73,44a2e,5,17,f4b1e,0,17,f3a26,0,12,f3a50,0,4,f3a32,0,4
11,216,158,71,44a2e,5,16,f4b1e,0,12,f3a26,0,10,f3a38,0,6,f3a50,0,6
12,210,154,94,f3a26,0,19,44a2e,5,15,f4b1e,0,13,f3a44,0,8,f3a3e,0,5
13,216,156,64,44a2e,5,17,f3a26,0,9,f4ba0,0,8,f3a2c,0,5,f4b1e,0,5
14,198,144,57,44a2e,5,17,f4b1e,0,12,f3a3e,0,8,f3a44,0,5,f3a4a,0,3
15,223,164,110,f3a26,0,31,f3a32,0,9,f4b1e,0,9,f22be,0,7,44a2e,5,6
16,181,125,86,f4b1e,0,15,f3a26,0,12,f3a2c,0,11,f3a50,0,7,f21c2,0,6
17,201,141,98,f3a26,0,16,f4b1e,0,10,f3a4a,0,8,f3a2c,0,7,f3802,0,6
18,207,143,62,f3a26,0,12,f3a2c,0,9,f4b1e,0,7,44a2e,5,5,f3a44,0,5
19,267,199,108,f3a26,0,25,f4b1e,0,11,1c58e,0,7,44a2e,5,6,f4abc,0,6
20,494,327,243,f3a26,0,17,f4b1e,0,14,f43fa,0,10,f446c,0,8,f39f4,0,7
