pc,type,mispredicts,total,misPermil,dirMiss,tgtMiss,noPredMiss
f3a26,0,748,18048,41.445,680,0,68
f3802,0,600,30693,19.5484,598,0,2
f4b1e,0,593,42628,13.911,590,0,3
f3a3e,0,333,5503,60.5124,245,0,88
a37e0,0,316,323,978.328,0,0,316
f3800,0,291,33074,8.79845,290,0,1
2b6e8,0,258,657,392.694,122,0,136
4bf72,5,233,650,358.462,0,10,223
f4b50,3,228,2060,110.68,0,227,1
f3a4a,0,226,3952,57.1862,225,0,1
f3a2c,0,220,7521,29.2514,183,0,37
28aa8,0,217,1990,109.045,115,0,102
f22be,0,216,5048,42.7892,215,0,1
4cf22,0,203,5082,39.9449,116,0,87
2b71e,0,201,440,456.818,39,0,162
f3a38,0,199,6244,31.8706,155,0,44
f3a32,0,193,6590,29.2868,160,0,33
4bf78,0,183,650,281.538,39,0,144
303c2,0,169,2271,74.4166,100,0,69
2b70a,0,161,784,205.357,0,0,161
f4abc,0,157,7324,21.4364,156,0,1
f3a44,0,150,4485,33.4448,149,0,1
f3d08,0,137,1467,93.3879,57,0,80
f4b0e,0,126,7324,17.2037,125,0,1
f37c8,0,125,756,165.344,4,0,121
f37a0,0,122,1164,104.811,3,0,119
436e4,0,120,5139,23.3508,63,0,57
f3780,0,120,2528,47.4684,96,0,24
44a2e,5,118,118,1000,0,117,1
f3a50,0,116,2120,54.717,115,0,1
1b0a0,0,113,5459,20.6998,112,0,1
1b0fc,0,108,1337,80.7779,69,0,39
44046,0,107,2733,39.1511,89,0,18
a37b2,5,104,323,321.981,0,0,104
219aa,0,102,1411,72.2892,101,0,1
f493a,0,96,11332,8.47158,93,0,3
436f0,0,90,5139,17.5131,50,0,40
f3ae4,0,87,918,94.7712,52,0,35
f4ba0,0,86,2203,39.0377,76,0,10
f39f4,0,84,522,160.92,64,0,20
3bf66,0,79,900,87.7778,44,0,35
1834a,0,76,170,447.059,28,0,48
303cc,0,75,1786,41.9933,43,0,32
2b718,0,74,440,168.182,0,0,74
f21c2,0,74,5094,14.5269,57,0,17
