pc,type,mispredicts,total,misPermil,dirMiss,tgtMiss,noPredMiss
44a2e,5,118,118,1000,0,117,1
a37e0,0,316,323,978,0,0,316
2b71e,0,201,440,456,39,0,162
1834a,0,76,170,447,28,0,48
2b6e8,0,258,657,392,122,0,136
4bf72,5,233,650,358,0,10,223
e1940,3,54,151,357,0,53,1
f43fa,0,36,107,336,35,0,1
a37b2,5,104,323,321,0,0,104
f3d14,0,36,113,318,0,0,36
1bf1a,0,40,133,300,21,0,19
dcb3c,0,72,240,300,18,0,54
3be2c,0,32,110,290,16,0,16
f446c,0,29,103,281,27,0,2
4bf78,0,183,650,281,39,0,144
e3bca,0,48,186,258,0,0,48
437fa,0,65,255,254,0,0,65
e3ce0,0,28,110,254,0,0,28
2b70a,0,161,784,205,0,0,161
2b718,0,74,440,168,0,0,74
f37c8,0,125,756,165,4,0,121
f39f4,0,84,522,160,64,0,20
f453a,0,17,111,153,15,0,2
dba0a,0,20,131,152,19,0,1
ec158,0,24,158,151,2,0,22
f3bca,0,51,350,145,49,0,2
ec148,0,23,158,145,2,0,21
f16aa,0,15,105,142,13,0,2
f3afc,0,71,504,140,49,0,22
d90c8,0,26,185,140,25,0,1
31ff0,0,19,141,134,0,0,19
e20ba,0,24,183,131,23,0,1
e3da6,0,19,147,129,12,0,7
18abe,0,52,404,128,0,0,52
e3b58,0,14,110,127,13,0,1
e3dbc,0,14,111,126,0,0,14
e3b8e,0,36,296,121,35,0,1
f4ade,0,14,116,120,12,0,2
f3b02,0,41,351,116,23,0,18
f37ce,0,49,441,111,27,0,22
f4b50,3,228,2060,110,0,227,1
28aa8,0,217,1990,109,115,0,102
e3c6a,0,16,147,108,11,0,5
f37a0,0,122,1164,104,3,0,119
f3bda,0,36,350,102,0,0,36
f3b16,0,25,245,102,0,0,25
f3aea,0,67,673,99,39,0,28
f3ae4,0,87,918,94,52,0,35
f3d08,0,137,1467,93,57,0,80
f3b08,0,31,333,93,13,0,18
4423e,0,42,463,90,41,0,1
3bf66,0,79,900,87,44,0,35
e3cfe,0,9,110,81,8,0,1
219d0,0,11,135,81,10,0,1
1b0fc,0,108,1337,80,69,0,39
dbdfe,0,13,168,77,11,0,2
303c2,0,169,2271,74,100,0,69
26b2a,0,18,242,74,17,0,1
dcb36,0,19,259,73,0,0,19
219aa,0,102,1411,72,101,0,1
2f83a,0,10,157,63,9,0,1
e3cf0,0,7,110,63,0,0,7
43f48,0,20,315,63,0,0,20
21562,0,18,289,62,16,0,2
f3a3e,0,333,5503,60,245,0,88
2b712,0,47,784,59,25,0,22
32818,0,19,324,58,17,0,2
