phaseID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,average
0,1,445,2341,1163,2520,749,697,833,237,290,307,260,384,238,231,276,561,317,448,394,417,230,59,230,215,31,19,11,4,2,1,0,0,7.18856
1,0,410,1700,902,1540,1623,489,666,694,150,988,755,373,558,272,394,363,265,56,309,276,352,66,39,13,14,3,2,0,0,0,0,0,7.53466
2,0,1107,1956,791,1271,1255,872,645,1206,367,588,655,235,750,318,193,395,226,92,300,403,213,111,23,24,19,32,12,32,5,0,0,0,7.09421
3,0,435,1282,678,1016,2246,1010,217,657,54,814,1046,447,524,65,55,420,199,313,180,38,42,27,29,294,297,44,9,0,2,4,0,0,8.036
4,0,343,1688,345,348,2998,346,7,345,5,1300,684,341,342,1,1,715,3,965,0,6,8,1,2,339,339,0,0,1,0,0,0,0,8.71612
5,0,0,245,4,0,6,5,8,0,0,624,1,5,2755,2369,1345,252,1,10,3,2,4,9,2,0,1,1,0,0,0,0,0,0,13.0685
6,0,0,0,6,0,6,0,6,0,0,6,0,6,3554,2370,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6687
7,0,0,0,5,0,5,0,6,0,0,6,0,5,3667,2267,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6556
8,0,470,941,476,478,3210,482,21,465,8,921,923,461,485,111,13,468,9,458,5,10,3,3,3,456,456,0,0,0,1,0,0,0,8.82068
9,0,228,2134,462,331,1856,280,51,248,34,1625,427,830,222,415,239,805,40,799,28,9,17,8,11,170,173,7,0,2,0,0,0,0,8.73286
10,0,841,1443,1184,1283,1379,1181,611,945,371,726,869,311,456,271,277,338,336,113,287,273,279,46,70,23,13,45,12,1,2,1,0,0,7.1495
11,0,1007,1332,1294,1170,1668,864,647,874,396,798,833,301,478,280,309,285,273,81,212,267,272,11,6,1,0,10,6,0,0,0,0,0,7.31261
12,0,1049,1376,1305,1174,1612,945,646,932,406,779,832,295,466,273,312,281,275,84,207,264,252,11,6,0,0,12,5,0,0,0,0,0,7.2469
13,0,997,1363,1297,1159,1705,895,638,898,395,832,775,304,485,269,307,268,277,89,208,262,258,12,5,0,0,11,6,0,0,0,0,0,7.29129
14,0,1050,1360,1315,1148,1636,945,635,939,403,809,803,302,463,269,315,262,273,91,194,261,258,11,6,0,0,11,5,0,0,0,0,0,7.26533
15,0,994,1371,1282,1166,1702,883,650,902,397,814,793,297,485,268,307,269,275,92,207,265,250,11,5,0,0,11,6,0,0,0,0,0,7.2982
16,0,1047,1365,1318,1139,1665,947,629,932,405,815,795,300,470,268,312,262,267,96,193,258,256,11,6,0,0,11,6,0,0,0,0,0,7.26058
17,0,1005,1370,1275,1157,1677,901,647,908,407,806,797,295,488,269,307,267,279,90,205,268,248,11,5,0,0,11,5,0,0,0,0,0,7.30034
18,0,1036,1373,1321,1146,1683,926,630,926,393,818,796,300,469,270,309,268,263,98,195,257,258,11,6,0,0,11,6,0,0,0,0,0,7.26269
19,0,1014,1370,1279,1153,1660,939,643,925,413,801,794,298,481,266,311,263,282,91,202,265,244,11,5,0,0,11,5,0,0,0,0,0,7.28544
20,0,1043,1366,1313,1156,1679,886,631,909,390,821,793,300,483,270,307,274,259,101,200,260,259,12,6,0,0,11,6,0,0,0,0,0,7.28067
21,0,1007,1371,1283,1153,1655,939,640,934,416,801,796,299,467,268,315,258,281,94,200,271,244,10,5,0,0,11,5,0,0,0,0,0,7.28704
22,0,1034,1364,1324,1159,1677,882,623,905,385,821,787,302,478,270,311,274,267,96,203,267,258,12,6,0,0,11,6,0,0,0,0,0,7.28757
23,0,1038,1377,1313,1157,1660,944,631,938,411,798,800,295,469,269,309,261,282,100,196,266,241,10,5,0,0,11,5,0,0,0,0,0,7.25374
24,0,1004,1365,1295,1155,1690,884,628,897,393,821,788,304,476,271,315,271,264,93,204,268,259,12,6,0,0,11,6,0,0,0,0,0,7.30994
25,0,1040,1380,1315,1162,1662,945,627,941,411,804,810,299,466,268,311,264,274,90,198,263,240,11,6,0,0,11,5,0,0,0,0,0,7.2448
26,0,1001,1374,1300,1151,1689,884,632,897,394,826,770,303,482,271,313,268,267,95,202,270,259,11,5,0,0,11,6,0,0,0,0,0,7.30941
27,0,1035,1363,1300,1156,1652,942,628,924,410,796,832,294,467,266,307,264,274,114,197,264,239,11,6,0,0,11,5,0,0,0,0,0,7.26903
28,0,978,1378,1346,1208,1691,1156,616,912,435,798,727,348,460,288,345,217,242,108,194,232,248,25,5,1,4,8,4,0,0,1,0,0,7.15564
29,0,903,1385,1425,1321,1725,1355,600,897,489,787,644,411,457,300,377,150,187,113,188,186,223,38,0,0,0,0,0,0,0,0,0,0,7.06165
30,0,897,1387,1424,1324,1729,1351,599,898,484,788,653,412,450,298,373,150,188,112,187,188,226,37,0,0,0,0,0,0,0,0,0,0,7.06464
31,0,855,1340,1624,1178,1476,1413,633,1216,350,800,603,335,419,280,313,200,204,132,223,232,293,39,20,13,4,16,3,1,1,0,0,0,7.03433
32,0,1008,1403,1525,1100,1300,1257,594,1175,332,776,636,297,450,321,325,241,198,131,242,282,292,41,19,13,5,20,6,1,1,0,0,0,7.14745
33,0,960,1369,1427,1047,1284,1265,587,1108,315,834,634,308,452,310,325,243,202,130,224,288,300,35,21,10,1,20,4,1,1,0,0,0,7.29661
34,0,970,1361,1499,1077,1276,1211,576,1145,326,816,623,317,441,323,323,238,205,132,214,291,290,37,20,10,1,18,5,1,1,0,0,0,7.27431
35,0,952,1389,1500,1089,1270,1294,583,1141,326,768,629,307,460,309,320,246,197,129,224,291,274,38,17,7,2,20,4,1,1,0,0,0,7.25268
36,0,974,1350,1502,1067,1274,1238,579,1142,314,808,603,320,443,316,326,243,194,130,210,297,289,35,18,7,1,18,4,1,1,0,0,0,7.29714
37,0,946,1362,1483,1107,1264,1262,590,1134,314,760,633,303,462,311,319,252,199,123,219,291,282,41,18,8,1,21,4,1,1,0,0,0,7.29341
38,0,965,1358,1485,1076,1257,1285,565,1134,314,801,611,314,459,313,310,239,188,134,210,289,293,39,19,7,1,20,4,1,1,0,0,0,7.30353
39,0,944,1355,1496,1078,1244,1290,560,1159,306,802,610,311,465,310,306,241,197,133,214,285,287,40,19,8,3,21,5,1,1,0,0,0,7.30407
40,0,944,1362,1480,1097,1264,1272,576,1143,322,765,656,312,448,307,322,237,189,139,213,286,277,39,20,6,1,20,3,1,1,0,0,0,7.2982
41,0,932,1379,1467,1058,1259,1292,566,1166,320,807,591,305,465,313,309,230,201,131,211,286,294,41,19,8,1,21,4,1,1,0,0,0,7.31101
42,0,977,1391,1497,1070,1269,1267,572,1138,323,826,603,318,460,317,322,232,197,130,210,286,280,38,16,10,2,20,5,0,1,0,0,0,7.25847
43,0,971,1416,1480,1068,1255,1299,580,1136,324,776,602,300,478,305,331,246,198,125,216,293,263,45,18,9,4,20,4,1,0,0,0,0,7.26586
44,0,964,1391,1498,1069,1241,1280,559,1153,310,816,582,314,476,301,331,241,182,133,215,284,278,45,19,8,4,20,4,1,1,0,0,0,7.28863
45,0,965,1387,1493,1053,1236,1318,559,1161,316,810,588,301,474,315,314,241,191,137,209,288,273,43,17,9,4,21,4,1,1,0,0,0,7.28385
46,0,957,1385,1495,1078,1247,1316,568,1160,319,792,605,312,464,304,326,232,194,131,207,281,273,42,18,7,4,22,3,1,1,0,0,0,7.2759
47,0,942,1384,1509,1084,1260,1321,575,1137,320,809,600,298,480,305,308,248,198,125,218,276,260,45,19,10,4,21,4,1,1,0,0,0,7.26639
48,0,942,1388,1501,1060,1236,1291,561,1152,320,808,598,312,487,307,325,238,191,136,204,275,276,44,19,8,4,22,4,1,1,0,0,0,7.29341
49,0,927,1400,1452,1086,1204,1241,569,1171,321,809,606,321,490,306,330,246,187,133,200,262,285,45,19,8,4,22,4,1,1,0,0,0,7.32601
