Hist,count
3ffff,532
3ef53,354
2016b,233
2fdfb,191
1555d,189
1077d,184
12979,149
3fffe,143
c4a7,143
2aaae,128
32493,120
12492,112
2eb80,106
25cab,106
13f55,104
3fed3,101
5af,101
3ff5e,101
15555,101
2bfed,100
3d562,100
3ebfe,100
27eab,100
3fab5,99
17b6f,99
10fea,99
94bc,98
3ffbf,97
2af55,93
1fff7,93
37a9a,92
dee4,90
3c0f1,90
78fc,90
2abe1,90
1bffe,90
2e4dc,87
21caf,86
14a5c,85
37a9d,82
294b9,78
22221,78
2a6b5,75
28eea,71
1fff,70
9249,69
3feff,69
3fe95,68
3cfdc,62
39ffc,62
3fbff,61
3fffd,57
11110,55
12497,55
3726e,53
3f7ef,53
3efdd,52
36f03,51
2ff9f,51
3e953,51
16bd,50
3dfbb,49
11111,49
dfd,49
26aab,48
b5e,48
252f3,47
1c175,47
3ffdf,46
1ebaf,45
2f53b,45
37df7,43
3fffb,42
3f7f7,41
18403,41
3bd4f,41
2bbea,41
3a9eb,40
2feff,40
188c7,40
3fff7,39
3fdff,39
2fab5,38
3ffe1,38
1f7df,38
129ff,38
3f7ff,37
18889,37
20a6a,37
31fb8,37
1fffb,37
15d31,37
3effe,36
33f71,36
3e7f7,36
37f5,36
3fbfb,36
fffd,36
26b5a,36
35fdb,34
27555,34
3ff7f,33
2d6fe,33
2fffd,33
3ad1f,32
8887,32
4442,32
3efdf,31
3dfff,31
27ebd,31
2ffff,31
3fdeb,30
3ffef,30
7ff0,30
238e3,30
924c,30
3b5be,30
2fff7,29
3ffe,29
2abfe,29
38eea,29
924b,29
efd,29
1fbf7,29
e38e,29
1ffff,28
3fffc,28
1ffd,28
3bffb,28
9263,28
1bbfd,28
31113,27
2195d,27
12973,27
25555,27
32ae,27
16b7f,27
2bd07,27
3efef,27
2b50b,26
2492f,25
2aabb,25
23ff8,25
2aa8f,25
1bc0f,25
3a9d0,25
5889,25
3dffd,25
14ff8,24
2498f,24
1159d,24
36fff,24
33fff,24
17fdf,24
3bbf7,24
75f,23
4edf,23
2aabf,23
23ffd,23
889d,22
36f53,22
14783,22
7fff,22
6feb,22
e0f,22
3bacb,22
2fbef,22
32186,22
1110a,22
29d82,22
2f55a,21
3dfba,21
3b7fd,21
15575,21
1c17,21
3d4d4,21
1526a,21
3d4f5,21
37597,21
2aaab,21
37f7f,21
39555,21
c786,21
3fff3,21
297fd,20
2aabe,20
852f,20
38f06,20
30807,20
3ff1f,20
3a9aa,20
1113b,20
14bfe,20
1752a,20
1352a,20
1574d,19
