phaseID,numBranches,numEverTakenBranches,totalMispredicts,topMispPC_0,type_0,misCnt_0,topMispPC_1,type_1,misCnt_1,topMispPC_2,type_2,misCnt_2,topMispPC_3,type_3,misCnt_3,topMispPC_4,type_4,misCnt_4
0,1695,1293,966,ca618,5,56,f3a26,0,36,4f8b4,0,33,f39f4,0,32,5399e,0,26
1,758,574,823,f3a26,0,147,f4b1e,0,111,44a2e,5,103,f3a2c,0,50,f3a3e,0,36
2,1170,788,1450,f3a26,0,134,f4b1e,0,87,f43fa,0,36,f39f4,0,34,f3800,0,29
3,1036,650,626,f3802,0,81,1b0a0,0,51,f3800,0,43,28ace,0,28,f3a26,0,21
4,149,93,21,3cf1e,0,4,3cf8c,0,3,3cf94,0,3,3cfd6,0,2,3cd16,0,1
5,20,17,57,3d034,0,10,4b0de,0,9,4b028,0,8,4b1da,0,6,4b1ac,0,6
6,6,5,18,4b0de,0,6,4b1ac,0,6,4b1da,0,6,4b0cc,0,0,4b0f2,0,0
7,6,5,17,4b0de,0,6,4b1ac,0,6,4b1da,0,5,4b0cc,0,0,4b0f2,0,0
8,350,198,37,f3802,0,4,f15d8,0,2,3cd16,0,2,f0452,0,1,ea668,0,1
9,376,245,135,f3802,0,11,f3800,0,9,3cf88,0,9,4a944,0,7,f3a32,0,6
10,1517,1032,1338,f3a26,0,99,f3802,0,84,f4b1e,0,80,f3800,0,43,f3a4a,0,33
11,720,495,192,a37e0,0,12,28aa8,0,12,2b6e8,0,12,436e4,0,11,4375c,0,9
12,683,483,203,f4b1e,0,19,f3a26,0,18,28aa8,0,10,2b6e8,0,10,a37e0,0,10
13,680,480,102,2b6e8,0,12,28aa8,0,12,a37e0,0,11,4bf78,0,6,a37b2,5,6
14,680,480,82,2b6e8,0,10,a37e0,0,10,28aa8,0,10,4bf78,0,6,4bf72,5,6
15,691,488,88,2b6e8,0,12,a37e0,0,12,28aa8,0,12,a37b2,5,6,4bf72,5,5
16,678,477,77,2b6e8,0,10,28aa8,0,10,a37e0,0,10,4bf78,0,6,4bf72,5,6
17,682,481,82,a37e0,0,12,2b6e8,0,12,28aa8,0,12,a37b2,5,6,4bf72,5,5
18,680,480,83,a37e0,0,11,2b6e8,0,10,28aa8,0,10,303c2,0,9,4bf78,0,6
19,678,477,74,2b6e8,0,12,28aa8,0,12,a37e0,0,11,a37b2,5,6,4bf72,5,5
20,680,480,73,2b6e8,0,11,a37e0,0,11,28aa8,0,10,4bf78,0,6,4bf72,5,6
21,688,485,80,28aa8,0,12,4cf22,0,11,2b6e8,0,11,a37e0,0,10,a37b2,5,6
22,678,477,75,2b6e8,0,12,4cf22,0,12,a37e0,0,11,28aa8,0,10,4bf78,0,6
23,680,480,78,4cf22,0,12,28aa8,0,12,a37e0,0,11,2b6e8,0,10,a37b2,5,6
24,717,494,84,4cf22,0,15,2b6e8,0,12,28aa8,0,12,a37e0,0,11,303c2,0,7
25,678,477,72,4cf22,0,11,a37e0,0,11,2b6e8,0,10,28aa8,0,10,a37b2,5,6
26,678,477,80,4cf22,0,13,2b6e8,0,12,28aa8,0,12,a37e0,0,11,4bf78,0,6
27,695,492,87,4cf22,0,12,a37e0,0,11,28aa8,0,10,2b6e8,0,10,a37b2,5,6
28,765,546,162,f3802,0,23,f3800,0,11,2b712,0,11,2b71e,0,10,28aa8,0,10
29,223,157,74,2b71e,0,37,2b70a,0,36,2b718,0,1,f1066,0,0,4166a,4,0
30,223,157,71,2b71e,0,37,2b70a,0,34,f1066,0,0,41636,2,0,4166a,4,0
31,1359,947,930,f3802,0,95,f3a26,0,64,f4b1e,0,50,f3800,0,29,f22be,0,29
32,1504,1052,899,f3802,0,83,f3800,0,56,f3a26,0,50,f4b1e,0,43,f22be,0,27
33,1440,1016,644,f3802,0,52,f3a26,0,39,f3800,0,33,f4b1e,0,26,f22be,0,22
34,1508,1055,482,f3802,0,31,f3a26,0,19,f4b1e,0,17,f3a4a,0,15,f3a3e,0,14
35,1469,1038,394,f3802,0,21,3f6ea,0,11,f4b1e,0,10,f3a3e,0,10,f3a26,0,9
36,1464,1035,344,f3a3e,0,12,f3a26,0,9,f3a4a,0,8,f4b1e,0,8,436e4,0,8
37,1503,1050,319,f3a3e,0,10,436e4,0,9,f3d08,0,8,303c2,0,8,2b71e,0,8
38,1464,1033,267,f3a3e,0,9,f3d08,0,7,303c2,0,7,f4b50,3,6,4bf72,5,6
39,1508,1055,280,436e4,0,8,303c2,0,7,f4b50,3,7,2b71e,0,7,2b70a,0,7
40,1479,1047,274,f3d08,0,8,f3a26,0,7,4cf22,0,7,f4b50,3,7,f3a3e,0,7
41,1463,1032,313,f4b1e,0,17,f3a3e,0,8,2b718,0,8,f3802,0,8,f4b50,3,8
42,1505,1052,386,f3a26,0,27,f4b1e,0,26,f3802,0,19,f3a4a,0,14,f3a3e,0,14
43,1466,1036,306,f4b1e,0,15,f3a3e,0,12,f3a26,0,11,f3802,0,10,f3a2c,0,9
44,1457,1027,298,f3a3e,0,19,f3a38,0,14,f4b1e,0,8,f3a2c,0,8,4bf72,5,7
45,1506,1054,255,f3a26,0,11,f3a2c,0,7,f3d08,0,6,2b70a,0,6,2b712,0,6
46,1467,1037,241,2b70a,0,8,f3a3e,0,8,f3a38,0,8,2b71e,0,7,4bf72,5,7
47,1500,1046,245,f3a3e,0,9,f3a2c,0,7,a37e0,0,6,f3d08,0,6,436f0,0,6
