Hist,count
3ffff,68
3fbff,17
3feff,15
3f7ff,15
3fffe,12
3ffbf,11
3ff7f,11
1b6db,10
1c2ff,9
3f7ef,9
3bfff,8
1ffff,8
3dfff,8
3efdf,8
3efff,8
3fdff,8
3fffd,7
37ff7,7
3dfbf,7
fff7,7
f70b,7
2dbdb,6
3ffef,6
7fff,6
3ffdf,6
37ffd,6
0,6
33dc2,6
3fff7,5
3fffb,5
3fbf7,5
2ded8,5
2ffff,5
37fff,5
2dffd,4
37eff,4
1dfff,4
36f77,4
2fefd,4
26aff,4
23fff,4
3ffed,4
3dc2f,4
eb7f,4
3fdfb,3
37fdf,3
1ffdf,3
1fffb,3
3fbfe,3
21acf,3
3ffdb,3
3effb,3
2ba3b,3
3ebbf,3
2deef,3
3dbff,3
2fdfb,3
33adf,3
2ffef,3
3bfef,3
3bf7f,3
3b85f,3
394ef,3
37ebd,3
4d5f,3
19d6f,3
1357f,3
3f,3
ffff,3
d5ff,2
30d67,2
2ffbf,2
3eff7,2
ceb7,2
2fdfe,2
9abf,2
3f7fb,2
2e17f,2
1abff,2
2db6f,2
6b3f,2
3fff,2
3fedf,2
2fffd,2
1,2
329df,2
edee,2
3dff7,2
3dfef,2
359ff,2
36fdf,2
370bf,2
16ffe,2
37fbf,2
15d1d,2
37ffe,2
39ee1,2
3b7ef,2
3ffb7,2
226af,2
1f,2
1fdfb,2
1fbff,2
1fbfd,2
3fff5,2
f,2
7,2
3ff5d,2
3df9f,1
3d73d,1
3db1f,1
3fff6,1
3dbf7,1
15571,1
3d557,1
3dfaf,1
3dfe1,1
7f,1
3dffd,1
3ffeb,1
3e7ef,1
3e99d,1
3e9e5,1
ff,1
15713,1
386b3,1
3b7ff,1
15747,1
3bd0e,1
3bf3f,1
3bf57,1
3bf5e,1
3,1
3bf7d,1
3bf7e,1
3d5d5,1
3bfbf,1
3bfdf,1
156f5,1
3bffd,1
3fffa,1
155d1,1
3c359,1
3d33a,1
3fff9,1
3edf7,1
3fd33,1
3ffae,1
3ffa6,1
3f86b,1
7ff,1
3faef,1
3fb7d,1
3fbd0,1
3ff7a,1
3fbfd,1
3ff55,1
3ff4c,1
76f7,1
3fd3c,1
3fd5d,1
3fd77,1
3fde8,1
359f,1
1fff,1
3fe5b,1
3fe99,1
3febb,1
fff,1
b6db,1
1ff,1
3fef4,1
3edff,1
3ffd7,1
3ffd5,1
3eff0,1
3ffd3,1
3eff5,1
3ffcb,1
3ff,1
d67f,1
3f0d6,1
3ffbd,1
3f2db,1
3f3f7,1
3f575,1
3f5df,1
3f7d5,1
3f7ed,1
3f7f8,1
3f7fd,1
2bbf5,1
27ffb,1
2aab8,1
2aae2,1
2aae8,1
2aba3,1
2adeb,1
2ae8e,1
2afff,1
2b7ae,1
2b7ff,1
2b9ee,1
1bdb1,1
2baab,1
27eff,1
2bf55,1
2bfff,1
2c7ff,1
2cfff,1
2d8ff,1
1b1ff,1
2deb9,1
1acff,1
2df7f,1
2e8ed,1
2eaae,1
2efd5,1
1ff7f,1
1ed8f,1
1edfb,1
1ee17,1
1f555,1
1f7ff,1
1f9fb,1
1faad,1
1fbf3,1
1fbf7,1
1fbfc,1
1fe9e,1
1fefd,1
2f6c7,1
1dfab,1
1fff7,1
1fffa,1
1dbdd,1
1d6ff,1
217ff,1
1cf70,1
1bffb,1
2675b,1
1bddf,1
275bf,1
27b85,1
15d55,1
35fbf,1
363ff,1
36c7f,1
36f6c,1
17135,1
36fff,1
37b63,1
37dff,1
37e7e,1
16f5c,1
37f7e,1
37fa7,1
15fff,1
35cf7,1
15c4d,1
385ff,1
1e875,1
15bd7,1
396db,1
3aaae,1
3aaba,1
3abff,1
3adff,1
3afff,1
3b63f,1
3b7bb,1
17eab,1
2fcfd,1
2fd56,1
2fd7b,1
2fdaf,1
2fdf5,1
2fdf9,1
18fff,1
2fdff,1
17fff,1
2ff0d,1
2ff4f,1
2ff57,1
3b7df,1
2fffb,1
177ea,1
30bff,1
31fff,1
17557,1
173dc,1
33f7f,1
3476f,1
34ceb,1
3555c,1
35574,1
35bff,1
