pc,type,mispredicts,total,misPermil,dirMiss,tgtMiss,noPredMiss
23682,0,25,127,196.85,1,0,24
1b718,0,20,310,64.5161,19,0,1
479c6,0,16,16,1000,0,0,16
1b71c,0,14,300,46.6667,7,0,7
283fc,0,12,28,428.571,9,0,3
2743a,0,9,27,333.333,8,0,1
1b728,0,8,310,25.8065,1,0,7
287b2,0,7,9,777.778,6,0,1
2c680,3,7,7,1000,0,5,2
2774c,0,7,17,411.765,6,0,1
2556a,0,6,29,206.897,4,0,2
4e910,0,6,14,428.571,5,0,1
4a108,0,5,7,714.286,2,0,3
25fe0,0,5,5,1000,4,0,1
4ea2a,0,5,12,416.667,4,0,1
1394e,0,5,30,166.667,2,0,3
20d0e,0,4,4,1000,1,0,3
28804,0,4,5,800,3,0,1
274a4,0,4,7,571.429,3,0,1
282da,0,4,10,400,1,0,3
1ba82,0,4,5,800,0,0,4
4ea30,0,4,14,285.714,3,0,1
24fae,0,4,9,444.444,3,0,1
2c36e,0,4,17,235.294,3,0,1
283bc,0,4,4,1000,1,0,3
1387e,0,4,5,800,1,0,3
1b6b8,0,3,30,100,1,0,2
2546a,0,3,9,333.333,2,0,1
24fb6,0,3,4,750,2,0,1
1bac2,0,3,3,1000,0,0,3
1f906,0,3,8,375,2,0,1
2cd5a,0,3,7,428.571,1,0,2
173e4,0,3,5,600,1,0,2
25ff8,0,3,5,600,2,0,1
287fc,0,3,7,428.571,2,0,1
4ea40,0,3,4,750,2,0,1
2a03c,0,3,3,1000,2,0,1
283ec,0,3,9,333.333,2,0,1
2839a,0,3,9,333.333,2,0,1
274b8,0,2,3,666.667,1,0,1
28832,0,2,3,666.667,1,0,1
420a2,0,2,8,250,1,0,1
1b6ae,0,2,30,66.6667,0,0,2
287b8,0,2,9,222.222,0,0,2
287a6,0,2,5,400,1,0,1
2842e,3,2,2,1000,0,1,1
283a8,0,2,3,666.667,1,0,1
39a60,0,2,3,666.667,1,0,1
27764,0,2,5,400,1,0,1
274c2,0,2,2,1000,1,0,1
25580,0,2,9,222.222,1,0,1
2cfe6,0,2,2,1000,0,0,2
2cfb0,0,2,3,666.667,0,0,2
27488,0,2,9,222.222,1,0,1
27440,0,2,28,71.4286,0,0,2
26b5a,0,2,2,1000,1,0,1
2cd42,0,2,6,333.333,1,0,1
26af2,0,2,3,666.667,1,0,1
26002,0,2,4,500,1,0,1
24fd4,0,2,2,1000,1,0,1
2500e,0,2,2,1000,1,0,1
251e6,0,2,9,222.222,1,0,1
2883c,0,2,2,1000,1,0,1
11522,0,2,847439,0.00236005,0,0,2
4e916,0,2,14,142.857,0,0,2
26b00,0,1,2,500,0,0,1
2b57e,0,1,1,1000,0,0,1
108fc,0,1,1,1000,0,0,1
2742e,0,1,8,125,0,0,1
26c58,0,1,2,500,0,0,1
26bcc,0,1,1,1000,0,0,1
26b9e,0,1,1,1000,0,0,1
23608,0,1,1,1000,0,0,1
4a068,0,1,3,333.333,0,0,1
26b6a,0,1,1,1000,0,0,1
4eaa6,0,1,1,1000,0,0,1
2d0f8,0,1,1,1000,0,0,1
26b36,0,1,2,500,0,0,1
26b26,0,1,2,500,0,0,1
2cffa,0,1,1,1000,0,0,1
20cd2,0,1,1,1000,0,0,1
23766,0,1,1,1000,0,0,1
2cfe2,0,1,3,333.333,0,0,1
23f06,0,1,1,1000,0,0,1
2beb8,0,1,1,1000,0,0,1
23f3a,0,1,1,1000,0,0,1
26a74,0,1,3,333.333,0,0,1
23f94,0,1,1,1000,0,0,1
248ce,0,1,2,500,0,0,1
248e8,0,1,1,1000,0,0,1
4ea80,0,1,2,500,0,0,1
24914,0,1,1,1000,0,0,1
397e6,0,1,2,500,0,0,1
39a28,5,1,3,333.333,0,0,1
2b4f2,0,1,1,1000,0,0,1
3992a,3,1,3,333.333,0,0,1
1f998,5,1,1,1000,0,0,1
398d2,0,1,2,500,0,0,1
39870,0,1,2,500,0,0,1
39860,0,1,2,500,0,0,1
3985c,0,1,2,500,0,0,1
39840,0,1,3,333.333,0,0,1
2b4f8,0,1,1,1000,0,0,1
2b510,0,1,1,1000,0,0,1
20170,0,1,1,1000,0,0,1
20178,0,1,1,1000,0,0,1
20cd8,0,1,1,1000,0,0,1
201e2,0,1,1,1000,0,0,1
397c0,0,1,2,500,0,0,1
20b70,0,1,1,1000,0,0,1
397b2,5,1,2,500,0,0,1
20ba4,0,1,1,1000,0,0,1
20bba,0,1,1,1000,0,0,1
39780,0,1,2,500,0,0,1
20be4,5,1,1,1000,0,0,1
20be8,0,1,1,1000,0,0,1
39756,0,1,2,500,0,0,1
39750,0,1,2,500,0,0,1
3973e,0,1,2,500,0,0,1
2cd92,0,1,1,1000,0,0,1
25482,0,1,2,500,0,0,1
24ecc,0,1,7,142.857,0,0,1
2c6bc,0,1,1,1000,0,0,1
4e958,0,1,2,500,0,0,1
4e984,0,1,2,500,0,0,1
2600a,0,1,5,200,0,0,1
4ea6a,0,1,2,500,0,0,1
25016,0,1,1,1000,0,0,1
2501c,0,1,2,500,0,0,1
2c8ba,0,1,1,1000,0,0,1
25fee,0,1,5,200,0,0,1
25212,0,1,9,111.111,0,0,1
2c8ac,0,1,1,1000,0,0,1
2c6c4,0,1,1,1000,0,0,1
24ea0,0,1,9,111.111,0,0,1
254bc,0,1,9,111.111,0,0,1
2c6ca,0,1,1,1000,0,0,1
2c6d0,0,1,1,1000,0,0,1
2c846,0,1,1,1000,0,0,1
2c6da,0,1,1,1000,0,0,1
2558c,0,1,2,500,0,0,1
2c836,0,1,1,1000,0,0,1
2c826,0,1,1,1000,0,0,1
2c786,0,1,1,1000,0,0,1
2c6f8,0,1,1,1000,0,0,1
2c700,0,1,1,1000,0,0,1
2c706,0,1,1,1000,0,0,1
2cd14,0,1,1,1000,0,0,1
201b0,0,1,1,1000,0,0,1
2cd8c,5,1,1,1000,0,0,1
479c0,0,1,17,58.8235,0,0,1
249ce,0,1,1,1000,0,0,1
2613e,0,1,5,200,0,0,1
2cd68,0,1,1,1000,0,0,1
24a6a,0,1,1,1000,0,0,1
2cd54,0,1,6,166.667,0,0,1
24a9e,0,1,1,1000,0,0,1
24ad6,0,1,1,1000,0,0,1
260ea,0,1,4,250,0,0,1
24afa,0,1,1,1000,0,0,1
24b10,0,1,1,1000,0,0,1
2c382,0,1,17,58.8235,0,0,1
2ccca,0,1,1,1000,0,0,1
2c68c,0,1,2,500,0,0,1
24b62,0,1,1,1000,0,0,1
